VHI_Parea data for UKR  Province= 13: Kirovohrad,  from 1981 to 2018<br>The data below were extracted from weekly files like: ../NPP_VH/4km/ts_L1_v1/ByWeek/VHP_L1_VHI_Parea_201301.txt<br><tt><pre>year,week,, provinceID, 0, 5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95,100
2013 01   0.00,  0.00,  0.05,  0.14,  0.62,  1.48,  4.74,  9.81, 17.32, 18.90, 19.19, 13.11,  8.33,  4.59,  1.29,  0.33,  0.10,  0.00,  0.00,  0.00,  0.00
2013 02   0.00,  0.00,  0.00,  0.14,  0.24,  1.10,  4.07,  8.51, 15.97, 20.18, 18.27, 16.36,  9.71,  3.54,  1.39,  0.43,  0.05,  0.05,  0.00,  0.00,  0.00
2013 03   0.00,  0.00,  0.00,  0.14,  0.24,  1.05,  3.78,  9.37, 16.06, 22.04, 18.88, 14.15,  8.51,  3.78,  1.72,  0.24,  0.05,  0.00,  0.00,  0.00,  0.00
2013 04   0.00,  0.00,  0.00,  0.05,  0.29,  0.57,  4.01, 10.46, 19.10, 20.82, 18.10, 12.70,  7.50,  3.96,  1.96,  0.43,  0.05,  0.00,  0.00,  0.00,  0.00
2013 05   0.00,  0.00,  0.00,  0.00,  0.14,  0.91,  4.63, 15.23, 20.92, 21.39, 17.43,  9.50,  5.49,  2.63,  1.19,  0.38,  0.10,  0.05,  0.00,  0.00,  0.00
2013 06   0.00,  0.00,  0.00,  0.00,  0.14,  0.62,  5.26, 13.71, 21.21, 21.69, 16.77, 10.08,  5.88,  2.25,  1.15,  0.91,  0.19,  0.10,  0.00,  0.05,  0.00
2013 07   0.00,  0.00,  0.00,  0.00,  0.19,  0.81,  4.88, 10.37, 18.12, 20.89, 17.54, 12.09,  7.36,  4.35,  2.06,  0.62,  0.53,  0.14,  0.00,  0.05,  0.00
2013 08   0.00,  0.00,  0.00,  0.10,  0.29,  2.20,  5.30, 10.61, 14.38, 17.82, 17.06, 14.91, 10.18,  5.21,  1.19,  0.43,  0.14,  0.10,  0.05,  0.05,  0.00
2013 09   0.00,  0.00,  0.00,  0.19,  0.81,  3.06,  6.45,  8.55, 14.00, 16.87, 18.11, 16.48, 11.28,  3.44,  0.62,  0.10,  0.05,  0.00,  0.00,  0.00,  0.00
2013 10   0.00,  0.00,  0.05,  0.48,  2.01,  4.35,  6.30, 11.08, 13.42, 18.43, 16.33, 14.61,  9.79,  2.63,  0.38,  0.05,  0.10,  0.00,  0.00,  0.00,  0.00
2013 11   0.00,  0.00,  0.29,  1.24,  3.44,  6.06,  7.88, 10.08, 14.04, 17.14, 14.61, 12.85,  8.60,  2.82,  0.62,  0.19,  0.05,  0.00,  0.05,  0.00,  0.05
2013 12   0.00,  0.05,  0.48,  2.20,  4.39,  6.88,  7.59, 10.65, 15.85, 15.04, 14.76, 11.56,  7.26,  2.39,  0.76,  0.10,  0.05,  0.00,  0.00,  0.00,  0.00
2013 13   0.00,  0.10,  0.72,  2.82,  4.68,  6.40,  8.55,  9.65, 14.80, 15.33, 13.80, 11.75,  7.64,  3.15,  0.33,  0.14,  0.14,  0.00,  0.00,  0.00,  0.00
2013 14   0.00,  0.10,  1.15,  3.77,  5.16,  6.59,  8.31,  9.50, 13.80, 14.23, 14.95,  9.98,  7.64,  3.44,  1.05,  0.14,  0.10,  0.10,  0.00,  0.00,  0.00
2013 15   0.00,  0.10,  1.58,  4.59,  5.78,  6.83,  8.79, 10.27, 13.09, 11.61, 14.05, 10.18,  6.78,  4.06,  1.67,  0.38,  0.14,  0.10,  0.00,  0.00,  0.00
2013 16   0.00,  0.24,  1.91,  5.64,  6.17,  6.64, 10.61, 10.90, 11.04, 11.90, 11.66,  9.85,  5.45,  4.73,  2.25,  0.57,  0.33,  0.10,  0.00,  0.00,  0.00
2013 17   0.00,  0.19,  2.01,  5.45,  6.50,  7.50,  8.65, 10.33, 12.19, 10.42, 11.23,  8.94,  6.31,  4.88,  3.25,  1.43,  0.57,  0.05,  0.10,  0.00,  0.00
2013 18   0.00,  0.05,  2.01,  4.02,  6.07,  7.65,  7.84,  8.84, 11.57, 10.47, 11.71,  7.93,  7.55,  5.11,  3.97,  3.01,  1.15,  0.67,  0.33,  0.05,  0.00
2013 19   0.00,  0.24,  1.43,  3.39,  5.97,  6.40,  8.50,  7.64,  9.98, 10.12, 10.55,  8.17,  7.93,  5.59,  4.92,  3.92,  2.44,  1.34,  0.86,  0.53,  0.10
2013 20   0.00,  0.29,  1.05,  2.77,  5.06,  6.92,  7.40,  7.59,  9.50,  9.60, 10.60,  8.74,  7.59,  7.07,  4.78,  4.30,  3.01,  1.96,  1.19,  0.43,  0.14
2013 21   0.00,  0.14,  0.62,  2.05,  2.91,  5.49,  7.07,  8.21,  8.21, 10.55, 10.12,  9.17,  9.31,  7.55,  6.16,  4.44,  3.92,  2.15,  1.29,  0.53,  0.10
2013 22   0.00,  0.05,  0.29,  0.76,  2.15,  3.34,  4.97,  6.64,  9.31,  9.84, 11.03, 11.17, 10.84,  9.17,  6.88,  6.40,  3.53,  2.39,  0.91,  0.29,  0.05
2013 23   0.00,  0.05,  0.14,  0.43,  0.57,  2.10,  2.91,  5.83,  7.31,  9.46, 11.56, 12.13, 12.75, 11.13,  9.89,  6.54,  4.25,  2.15,  0.62,  0.19,  0.00
2013 24   0.00,  0.00,  0.19,  0.00,  0.53,  1.15,  1.77,  3.53,  5.64,  8.02,  9.46, 13.66, 13.71, 12.94, 12.56,  8.83,  5.73,  1.58,  0.53,  0.19,  0.00
2013 25   0.00,  0.00,  0.05,  0.14,  0.33,  0.62,  1.48,  2.10,  4.73,  6.69,  9.84, 11.89, 14.52, 14.23, 13.47,  9.84,  7.45,  1.96,  0.53,  0.14,  0.00
2013 26   0.00,  0.00,  0.00,  0.05,  0.29,  0.67,  1.29,  3.15,  3.34,  6.78,  8.12, 12.66, 14.04, 14.47, 12.75,  9.60,  8.36,  3.44,  0.91,  0.10,  0.00
2013 27   0.00,  0.00,  0.05,  0.14,  0.19,  0.86,  1.48,  2.87,  4.11,  6.45,  8.79, 10.55, 12.94, 13.37, 12.32, 11.37,  8.55,  4.63,  1.15,  0.19,  0.00
2013 28   0.00,  0.00,  0.05,  0.10,  0.53,  1.00,  1.81,  3.30,  4.58,  6.16,  8.55, 10.22, 11.99, 13.18, 12.27, 12.03,  8.88,  4.54,  0.67,  0.14,  0.00
2013 29   0.00,  0.00,  0.14,  0.05,  0.43,  1.67,  2.48,  3.01,  5.68,  6.26,  7.59,  9.03, 11.84, 13.47, 13.32, 11.08,  9.03,  4.11,  0.72,  0.10,  0.00
2013 30   0.00,  0.00,  0.05,  0.33,  0.91,  2.29,  2.48,  4.15,  5.01,  6.83,  7.74,  9.89, 13.28, 12.85, 14.14,  9.46,  7.35,  2.53,  0.62,  0.10,  0.00
2013 31   0.00,  0.00,  0.19,  0.76,  1.72,  2.67,  3.34,  4.58,  6.21,  8.69, 10.27, 11.89, 12.37, 13.47, 10.32,  8.21,  3.63,  1.38,  0.29,  0.00,  0.00
2013 32   0.00,  0.05,  0.43,  1.05,  2.39,  2.82,  4.11,  6.11,  7.83, 10.03, 11.03, 12.70, 13.47, 10.79,  8.55,  5.64,  2.20,  0.76,  0.05,  0.00,  0.00
2013 33   0.00,  0.05,  0.81,  1.00,  1.77,  2.82,  4.49,  6.73,  8.02, 10.79, 12.03, 13.85, 11.27, 10.08,  8.26,  5.06,  1.96,  0.81,  0.19,  0.00,  0.00
2013 34   0.05,  0.19,  0.33,  0.53,  1.53,  1.91,  3.68,  6.16,  7.50, 11.89, 12.89, 12.27, 12.23, 11.08,  8.31,  5.21,  2.44,  1.34,  0.33,  0.14,  0.00
