VHI_Parea data for UKR  Province= 21: Sumy,  from 1981 to 2018<br>The data below were extracted from weekly files like: ../NPP_VH/4km/ts_L1_v1/ByWeek/VHP_L1_VHI_Parea_201301.txt<br><tt><pre>year,week,, provinceID, 0, 5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95,100
2013 01   0.00,  0.09,  0.05,  0.05,  0.14,  1.07,  2.70,  7.35, 12.55, 16.50, 17.99, 16.50, 13.39,  7.35,  2.70,  1.12,  0.33,  0.09,  0.05,  0.00,  0.00
2013 02   0.00,  0.09,  0.05,  0.14,  0.42,  1.44,  3.21,  8.04, 12.41, 15.48, 18.55, 16.74, 12.37,  7.76,  2.28,  0.74,  0.19,  0.05,  0.05,  0.00,  0.00
2013 03   0.00,  0.00,  0.05,  0.23,  0.60,  1.63,  4.32,  8.00, 12.27, 14.55, 18.60, 16.04, 11.85,  7.95,  3.02,  0.70,  0.14,  0.05,  0.00,  0.00,  0.00
2013 04   0.00,  0.00,  0.00,  0.05,  0.46,  0.98,  3.07,  5.53,  8.83, 12.65, 19.71, 16.18, 14.64, 10.04,  5.44,  1.91,  0.51,  0.00,  0.00,  0.00,  0.00
2013 05   0.00,  0.00,  0.00,  0.09,  0.33,  0.70,  2.42,  4.83,  7.72, 12.23, 20.27, 18.50, 15.16,  9.76,  5.58,  1.86,  0.42,  0.14,  0.00,  0.00,  0.00
2013 06   0.00,  0.00,  0.09,  0.05,  0.23,  1.16,  4.23,  6.37, 11.48, 16.18, 20.69, 17.39, 11.44,  5.72,  3.30,  1.26,  0.23,  0.14,  0.05,  0.00,  0.00
2013 07   0.00,  0.00,  0.05,  0.05,  0.14,  1.72,  4.70, 10.55, 16.92, 19.43, 20.04, 13.25,  7.21,  3.81,  1.63,  0.28,  0.09,  0.14,  0.00,  0.00,  0.00
2013 08   0.00,  0.00,  0.05,  0.00,  0.33,  2.19,  6.93, 15.62, 20.46, 20.97, 16.78,  9.39,  4.83,  1.77,  0.33,  0.33,  0.05,  0.00,  0.00,  0.00,  0.00
2013 09   0.00,  0.00,  0.00,  0.05,  0.23,  2.32,  7.25, 18.18, 21.43, 20.60, 16.09,  8.60,  3.44,  1.26,  0.28,  0.28,  0.00,  0.00,  0.00,  0.00,  0.00
2013 10   0.00,  0.00,  0.00,  0.00,  0.14,  1.21,  5.07, 14.74, 21.71, 21.76, 18.36, 10.65,  4.04,  1.21,  0.65,  0.37,  0.05,  0.00,  0.05,  0.00,  0.00
