VHI_Parea data for UKR  Province= 22: Ternopil',  from 1981 to 2018<br>The data below were extracted from weekly files like: ../NPP_VH/4km/ts_L1_v1/ByWeek/VHP_L1_VHI_Parea_201301.txt<br><tt><pre>year,week,, provinceID, 0, 5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95,100
2013 01   0.00,  0.00,  0.00,  0.00,  0.00,  0.34,  1.26,  4.78,  8.64, 12.84, 16.44, 19.38, 18.71, 12.42,  3.86,  1.34,  0.00,  0.00,  0.00,  0.00,  0.00
2013 02   0.00,  0.00,  0.00,  0.00,  0.00,  0.50,  0.84,  3.19,  7.72, 10.23, 12.84, 18.20, 24.16, 14.77,  6.12,  1.17,  0.25,  0.00,  0.00,  0.00,  0.00
2013 03   0.00,  0.00,  0.00,  0.00,  0.00,  0.25,  0.67,  2.18,  3.27,  7.89, 10.32, 13.76, 27.18, 22.23,  9.48,  2.52,  0.25,  0.00,  0.00,  0.00,  0.00
2013 04   0.00,  0.00,  0.00,  0.00,  0.00,  0.08,  0.67,  1.43,  4.19,  5.79,  8.47, 14.85, 28.78, 23.32, 10.32,  1.85,  0.25,  0.00,  0.00,  0.00,  0.00
2013 05   0.00,  0.00,  0.00,  0.00,  0.00,  0.17,  0.42,  2.27,  4.28,  7.13, 10.57, 20.72, 32.30, 17.28,  3.94,  0.76,  0.17,  0.00,  0.00,  0.00,  0.00
2013 06   0.00,  0.00,  0.00,  0.00,  0.00,  0.42,  0.92,  3.19,  6.38,  9.65, 15.60, 25.25, 29.95,  7.13,  1.17,  0.34,  0.00,  0.00,  0.00,  0.00,  0.00
2013 07   0.00,  0.00,  0.00,  0.00,  0.08,  0.84,  2.01,  5.29,  9.06, 13.00, 15.44, 29.36, 21.14,  3.27,  0.50,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2013 08   0.00,  0.00,  0.00,  0.00,  0.08,  1.01,  2.60,  5.37,  8.22, 12.33, 18.12, 26.85, 22.48,  2.60,  0.34,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2013 09   0.00,  0.00,  0.00,  0.00,  0.08,  0.34,  2.10,  4.28,  6.29,  8.81, 13.67, 28.44, 31.04,  4.61,  0.34,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2013 10   0.00,  0.00,  0.00,  0.00,  0.00,  0.25,  1.59,  3.44,  5.37,  6.71, 11.41, 27.27, 36.66,  6.96,  0.34,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2013 11   0.00,  0.00,  0.00,  0.00,  0.00,  0.08,  0.76,  2.01,  3.52,  6.46, 10.91, 28.61, 38.76,  7.97,  0.76,  0.17,  0.00,  0.00,  0.00,  0.00,  0.00
2013 12   0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.08,  0.67,  2.43,  4.87, 10.23, 31.12, 40.44,  9.23,  0.76,  0.08,  0.08,  0.00,  0.00,  0.00,  0.00
2013 13   0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.08,  0.50,  1.51,  5.29, 11.49, 33.39, 38.34,  8.39,  0.67,  0.25,  0.00,  0.00,  0.00,  0.08,  0.00
2013 14   0.00,  0.00,  0.00,  0.00,  0.00,  0.08,  0.17,  0.59,  2.35,  4.70, 13.59, 31.21, 35.82,  9.40,  1.51,  0.25,  0.17,  0.00,  0.08,  0.00,  0.08
