VHI_Parea data for UKR  Province= 6: Donets'k,  from 1981 to 2018<br>The data below were extracted from weekly files like: ../NPP_VH/4km/ts_L1_v1/ByWeek/VHP_L1_VHI_Parea_201301.txt<br><tt><pre>year,week,, provinceID, 0, 5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95,100
2013 01   0.00,  0.04,  0.04,  0.35,  1.15,  2.56,  6.76,  9.59, 12.73, 15.02, 17.63, 13.21,  9.10,  6.45,  2.87,  1.55,  0.62,  0.18,  0.09,  0.04,  0.00
2013 02   0.00,  0.04,  0.04,  0.18,  0.93,  2.12,  4.68,  9.50, 12.46, 14.98, 17.19, 15.29, 10.96,  6.81,  2.92,  1.41,  0.18,  0.13,  0.13,  0.00,  0.04
2013 03   0.00,  0.00,  0.00,  0.18,  0.80,  1.94,  4.73,  7.73, 13.65, 15.69, 16.57, 15.82, 11.14,  7.38,  3.05,  0.84,  0.35,  0.13,  0.00,  0.00,  0.00
2013 04   0.00,  0.00,  0.00,  0.18,  0.62,  1.46,  3.49,  8.93, 13.97, 16.40, 17.42, 15.16, 10.57,  7.12,  3.71,  0.57,  0.22,  0.13,  0.04,  0.00,  0.00
2013 05   0.00,  0.00,  0.00,  0.09,  0.62,  1.81,  4.95, 11.36, 15.08, 17.82, 17.55, 13.88,  9.02,  4.95,  2.12,  0.49,  0.22,  0.04,  0.00,  0.00,  0.00
2013 06   0.00,  0.00,  0.04,  0.31,  0.75,  3.98,  9.15, 15.08, 17.06, 17.90, 14.01, 10.88,  7.38,  2.34,  0.66,  0.22,  0.13,  0.09,  0.00,  0.00,  0.00
2013 07   0.00,  0.00,  0.18,  0.49,  2.74,  6.10, 12.51, 15.92, 18.30, 14.46, 13.35,  9.59,  4.55,  1.06,  0.62,  0.00,  0.09,  0.04,  0.00,  0.00,  0.00
2013 08   0.00,  0.00,  0.27,  1.02,  3.93,  7.38, 11.36, 15.42, 16.92, 13.17, 14.58, 11.09,  4.02,  0.62,  0.18,  0.04,  0.00,  0.00,  0.00,  0.00,  0.00
2013 09   0.00,  0.00,  0.44,  1.86,  4.68,  7.82, 10.69, 13.08, 15.51, 15.29, 14.54, 12.64,  3.23,  0.22,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2013 10   0.00,  0.00,  0.62,  2.25,  6.23,  8.53,  9.81, 13.43, 15.91, 14.36, 14.71, 12.15,  1.90,  0.04,  0.04,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2013 11   0.00,  0.00,  0.57,  2.56,  5.26,  8.26,  9.85, 13.17, 16.35, 14.45, 13.08, 11.49,  4.42,  0.49,  0.04,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2013 12   0.00,  0.00,  0.62,  2.70,  5.17,  7.20,  8.84, 12.90, 15.33, 15.11, 11.84, 12.59,  5.52,  1.86,  0.27,  0.04,  0.00,  0.00,  0.00,  0.00,  0.00
2013 13   0.00,  0.04,  0.62,  2.70,  4.20,  7.07,  7.87, 11.93, 15.82, 14.10, 11.62, 12.68,  8.13,  2.65,  0.53,  0.04,  0.00,  0.00,  0.00,  0.00,  0.00
