VHI_Parea data for UKR  Province= 26: Zaporizhzhya,  from 1981 to 2018<br>The data below were extracted from weekly files like: ../NPP_VH/4km/ts_L1_v1/ByWeek/VHP_L1_VHI_Parea_201301.txt<br><tt><pre>year,week,, provinceID, 0, 5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95,100
2013 01   0.00,  0.00,  0.00,  0.71,  2.26,  5.37,  7.21, 10.08,  8.62,  9.66, 17.39, 14.47, 10.70,  6.69,  4.01,  1.70,  0.61,  0.24,  0.19,  0.05,  0.05
2013 02   0.00,  0.00,  0.24,  0.66,  3.06,  4.90,  7.68,  9.89, 10.50,  9.00, 19.55, 14.65,  8.95,  5.61,  2.97,  1.51,  0.33,  0.38,  0.09,  0.05,  0.00
2013 03   0.00,  0.00,  0.14,  1.22,  3.77,  6.31,  8.48, 11.07,  9.28, 11.35, 18.46, 12.44,  8.01,  4.90,  2.59,  1.13,  0.47,  0.24,  0.05,  0.00,  0.09
2013 04   0.00,  0.00,  0.05,  1.84,  4.95,  8.95, 11.49, 11.63, 11.16,  9.61, 17.90, 12.29,  6.17,  2.83,  0.85,  0.19,  0.05,  0.00,  0.00,  0.00,  0.05
2013 05   0.00,  0.00,  0.09,  1.55,  4.90,  9.04, 12.25, 11.96, 11.35,  9.80, 18.61, 10.79,  6.17,  2.54,  0.85,  0.05,  0.00,  0.05,  0.00,  0.00,  0.00
2013 06   0.00,  0.00,  0.19,  1.65,  5.89, 10.55, 13.14, 11.82, 11.78,  9.51, 21.67,  8.01,  4.43,  1.04,  0.33,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2013 07   0.00,  0.05,  0.42,  3.44,  8.05, 12.11, 12.72, 10.69, 10.27, 10.13, 23.08,  6.41,  2.36,  0.24,  0.05,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2013 08   0.00,  0.05,  0.85,  3.72,  9.14, 10.74, 11.49, 10.46, 11.16, 10.69, 21.76,  7.96,  1.88,  0.05,  0.00,  0.05,  0.00,  0.00,  0.00,  0.00,  0.00
2013 09   0.00,  0.09,  1.04,  4.15,  9.04,  9.33, 10.55, 10.88, 10.74, 10.83, 18.23, 12.48,  2.54,  0.00,  0.05,  0.05,  0.00,  0.00,  0.00,  0.00,  0.00
2013 10   0.00,  0.14,  1.04,  4.34,  8.62,  9.47, 11.07, 10.65, 10.93, 10.04, 15.36, 14.80,  3.30,  0.14,  0.05,  0.05,  0.00,  0.00,  0.00,  0.00,  0.00
2013 11   0.00,  0.00,  0.61,  3.02,  7.45,  9.80, 11.45, 10.51, 11.50, 11.12, 11.07, 14.47,  8.20,  0.66,  0.09,  0.05,  0.00,  0.00,  0.00,  0.00,  0.00
2013 12   0.00,  0.00,  0.71,  2.45,  7.12,  8.92, 10.24, 10.52, 12.08, 11.60, 11.37, 11.65, 10.47,  2.64,  0.14,  0.00,  0.09,  0.00,  0.00,  0.00,  0.00
2013 13   0.00,  0.00,  0.42,  1.98,  5.04,  8.63,  8.72, 10.84, 10.99, 12.73, 11.60, 11.36, 10.80,  5.89,  0.85,  0.09,  0.05,  0.00,  0.00,  0.00,  0.00
2013 14   0.00,  0.09,  0.38,  1.93,  4.95,  7.64,  9.62, 10.00, 11.03, 12.21, 12.45, 11.22, 10.94,  6.36,  0.94,  0.19,  0.05,  0.00,  0.00,  0.00,  0.00
2013 15   0.05,  0.05,  0.71,  2.73,  6.36,  7.68,  7.96, 10.55, 10.46, 11.96, 12.48, 11.40, 10.69,  5.65,  1.13,  0.14,  0.00,  0.00,  0.00,  0.00,  0.00
2013 16   0.05,  0.00,  0.66,  3.63,  5.93,  8.43,  7.30,  9.33, 10.83, 11.12, 13.19, 11.59,  9.61,  6.50,  1.79,  0.05,  0.00,  0.00,  0.00,  0.00,  0.00
2013 17   0.05,  0.05,  1.04,  3.30,  6.59,  7.82,  7.30,  9.23,  9.70, 12.11, 11.87, 10.98,  8.76,  6.50,  3.86,  0.71,  0.09,  0.05,  0.00,  0.00,  0.00
2013 18   0.05,  0.05,  1.46,  3.96,  6.36,  7.68,  7.68,  8.95,  9.04, 12.01, 10.50,  8.81,  8.05,  5.51,  4.71,  3.44,  1.32,  0.19,  0.19,  0.00,  0.05
2013 19   0.00,  0.52,  1.98,  4.85,  5.89,  8.71,  8.34,  7.68, 10.98,  9.28,  9.84,  8.05,  6.12,  5.84,  3.96,  3.53,  2.40,  1.22,  0.52,  0.24,  0.05
2013 20   0.05,  1.04,  2.87,  5.04,  6.59,  8.90,  9.99,  9.04, 10.36,  8.38,  9.23,  7.44,  5.98,  4.95,  3.77,  2.97,  1.55,  1.04,  0.42,  0.24,  0.14
2013 21   0.19,  1.22,  2.40,  3.77,  6.45,  7.87,  9.56, 10.41,  8.53,  9.37,  8.34,  8.34,  6.31,  4.85,  4.57,  3.44,  2.17,  1.27,  0.61,  0.24,  0.09
2013 22   0.71,  1.04,  1.98,  3.44,  5.37,  7.02,  8.76,  9.47, 10.22, 10.69,  9.61,  7.91,  7.07,  5.56,  4.10,  3.01,  2.07,  1.18,  0.66,  0.09,  0.05
2013 23   0.71,  1.13,  2.31,  3.58,  5.37,  8.10,  8.67, 10.60, 11.96, 10.83,  9.28,  8.24,  6.83,  4.95,  3.20,  2.17,  0.99,  0.75,  0.19,  0.14,  0.00
2013 24   0.66,  1.08,  2.78,  4.24,  5.18,  7.77, 10.46,  9.99, 10.65, 11.16,  9.56,  8.38,  5.93,  5.42,  2.97,  2.12,  0.94,  0.42,  0.24,  0.00,  0.05
2013 25   0.47,  1.13,  2.64,  4.71,  5.84,  8.15,  9.51, 10.32,  9.84,  9.94,  9.37,  7.91,  6.36,  5.93,  3.06,  2.78,  0.99,  0.89,  0.05,  0.05,  0.05
2013 26   0.52,  1.13,  2.59,  4.10,  6.55,  8.24,  9.75, 11.07,  9.56,  8.34,  9.09,  8.01,  6.50,  4.71,  4.38,  2.87,  1.60,  0.66,  0.19,  0.09,  0.05
2013 27   0.52,  1.22,  2.40,  4.10,  7.44,  8.29, 11.54, 10.41,  9.33,  8.29,  8.90,  7.11,  6.08,  5.09,  4.05,  2.92,  1.41,  0.66,  0.19,  0.00,  0.05
2013 28   0.47,  1.13,  3.82,  4.90,  7.82,  9.90, 10.41,  9.71,  9.61,  8.34,  8.15,  7.40,  6.03,  5.14,  3.20,  2.17,  1.18,  0.52,  0.09,  0.00,  0.00
2013 29   0.47,  1.70,  4.57,  5.42,  8.48, 10.84,  9.14,  9.28,  9.19,  8.77,  8.06,  7.78,  5.00,  5.00,  3.25,  1.65,  1.08,  0.28,  0.05,  0.00,  0.00
2013 30   0.66,  3.07,  5.42,  7.03,  9.62,  9.43,  9.72, 10.28,  7.92,  8.73,  7.69,  6.37,  5.28,  4.01,  2.55,  1.27,  0.66,  0.24,  0.05,  0.00,  0.00
2013 31   1.32,  3.39,  6.13,  7.97,  9.90,  9.95,  9.71,  9.90, 10.00,  7.40,  7.21,  6.27,  3.82,  3.44,  1.74,  0.90,  0.75,  0.19,  0.00,  0.00,  0.00
2013 32   1.51,  3.96,  7.45,  9.43,  9.81, 11.18, 10.28, 10.14,  9.15,  7.41,  6.56,  5.71,  3.11,  1.93,  1.32,  0.47,  0.47,  0.09,  0.00,  0.00,  0.00
2013 33   0.94,  3.21,  5.75,  8.87, 10.75, 13.30, 11.65, 10.47,  9.67,  7.78,  6.79,  5.28,  2.17,  1.51,  0.94,  0.61,  0.28,  0.00,  0.00,  0.00,  0.00
2013 34   0.28,  1.46,  3.21,  5.80,  9.44, 12.98, 14.39, 13.45, 10.67,  8.87,  8.26,  5.43,  2.97,  1.32,  0.61,  0.47,  0.33,  0.05,  0.00,  0.00,  0.00
2013 35   0.09,  0.24,  1.32,  3.30,  5.66, 10.85, 15.24, 14.02, 14.30, 11.23, 13.50,  5.05,  3.35,  0.76,  0.52,  0.42,  0.05,  0.05,  0.00,  0.00,  0.05
2013 36   0.00,  0.19,  0.24,  1.42,  3.45,  8.69, 11.33, 14.02, 14.02, 12.80, 24.03,  5.29,  2.60,  1.27,  0.28,  0.24,  0.05,  0.05,  0.00,  0.00,  0.05
2013 37   0.05,  0.00,  0.38,  0.57,  2.64,  6.09,  9.30, 12.69, 13.26, 13.31, 32.23,  5.05,  2.60,  1.23,  0.42,  0.09,  0.05,  0.00,  0.00,  0.00,  0.05
2013 38   0.00,  0.00,  0.19,  0.19,  1.08,  3.53,  7.54, 10.37, 12.96, 13.95, 38.50,  6.17,  3.06,  1.46,  0.66,  0.19,  0.09,  0.00,  0.00,  0.00,  0.05
2013 39   0.00,  0.00,  0.05,  0.05,  0.42,  2.03,  5.05,  9.58, 12.46, 15.24, 33.93, 11.33,  5.52,  2.97,  0.80,  0.47,  0.00,  0.05,  0.00,  0.00,  0.05
2013 40   0.00,  0.00,  0.00,  0.19,  0.61,  1.56,  5.00,  8.39, 13.11, 16.50, 24.23, 15.04,  8.86,  4.15,  1.89,  0.33,  0.09,  0.00,  0.00,  0.00,  0.05
2013 41   0.00,  0.00,  0.00,  0.14,  0.61,  2.03,  5.10,  9.44, 16.05, 20.35, 17.71, 13.74,  8.83,  4.11,  1.42,  0.28,  0.14,  0.00,  0.00,  0.05,  0.00
2013 42   0.00,  0.00,  0.14,  0.19,  0.99,  4.39,  8.50, 15.07, 21.21, 19.23, 14.45,  9.49,  4.44,  1.32,  0.33,  0.14,  0.05,  0.00,  0.05,  0.00,  0.00
2013 43   0.00,  0.09,  0.19,  1.28,  4.12, 11.26, 18.50, 22.24, 17.56, 13.82,  6.86,  2.79,  0.80,  0.33,  0.14,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2013 44   0.00,  0.28,  1.61,  5.03, 13.43, 22.49, 20.35, 17.84, 11.10,  5.12,  1.90,  0.47,  0.24,  0.14,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2013 45   0.00,  1.04,  3.58,  8.91, 12.77, 15.79, 15.98, 13.43, 10.60,  6.93,  6.88,  3.25,  0.66,  0.05,  0.14,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2013 46   0.00,  0.38,  3.30,  6.08, 10.08, 14.70, 14.94, 14.09, 12.30,  8.58,  8.95,  4.10,  1.23,  0.75,  0.28,  0.09,  0.05,  0.05,  0.05,  0.00,  0.00
2013 47   0.00,  0.38,  1.79,  4.52,  8.20, 12.39, 13.99, 13.66, 13.05, 11.26, 12.06,  4.76,  1.79,  1.04,  0.57,  0.33,  0.14,  0.05,  0.05,  0.00,  0.00
2013 48   0.00,  0.28,  1.37,  4.57,  7.72,  9.80, 12.86, 15.69, 12.39, 12.29, 15.07,  4.38,  2.17,  0.80,  0.19,  0.38,  0.00,  0.00,  0.00,  0.05,  0.00
2013 49   0.00,  0.28,  1.56,  4.05,  8.44,  9.47, 13.48, 13.29, 14.23, 11.31, 14.89,  6.31,  1.46,  0.71,  0.28,  0.24,  0.00,  0.00,  0.00,  0.00,  0.00
2013 50   0.00,  0.52,  1.46,  4.43,  7.77, 10.50, 12.20, 13.52, 12.29, 11.16, 17.10,  6.12,  1.55,  0.89,  0.33,  0.09,  0.00,  0.05,  0.00,  0.00,  0.00
2013 51   0.00,  0.47,  2.07,  4.99,  8.29,  9.51, 13.09, 12.20, 11.87, 10.65, 18.51,  5.79,  1.65,  0.57,  0.19,  0.09,  0.05,  0.00,  0.00,  0.00,  0.00
2013 52   0.00,  0.75,  2.45,  5.00,  8.34, 10.32, 11.40, 11.92, 12.02, 10.37, 19.75,  5.00,  1.60,  0.57,  0.24,  0.24,  0.00,  0.05,  0.00,  0.00,  0.00
2014 01   0.00,  0.66,  2.73,  4.01,  6.83,  8.25, 10.70, 10.60, 13.34, 10.23, 23.94,  5.37,  1.70,  1.13,  0.24,  0.14,  0.14,  0.00,  0.00,  0.00,  0.00
2014 02   0.00,  0.05,  2.50,  3.44,  6.55,  8.95, 10.74, 13.28, 11.92, 11.78, 21.15,  4.95,  2.40,  1.46,  0.47,  0.24,  0.09,  0.00,  0.05,  0.00,  0.00
2014 03   0.05,  0.00,  0.71,  3.49,  5.79, 10.32, 12.15, 13.47, 13.38, 11.68, 16.67,  6.08,  3.30,  1.41,  1.13,  0.14,  0.05,  0.05,  0.09,  0.05,  0.00
2014 04   0.05,  0.00,  0.66,  3.25,  7.25, 11.45, 14.93, 16.11, 13.90,  9.66, 13.71,  5.23,  2.54,  0.89,  0.14,  0.09,  0.09,  0.00,  0.05,  0.00,  0.00
2014 05   0.09,  0.05,  0.61,  3.25,  7.07, 10.55, 15.97, 16.96, 15.26, 10.69, 11.35,  4.80,  2.07,  0.85,  0.24,  0.09,  0.05,  0.00,  0.05,  0.00,  0.00
2014 06   0.09,  0.00,  0.80,  3.63,  7.35, 11.54, 15.59, 17.24, 15.54, 10.79, 11.26,  3.72,  1.88,  0.28,  0.14,  0.14,  0.00,  0.00,  0.00,  0.00,  0.00
2014 07   0.09,  0.00,  1.22,  4.71,  8.81, 12.86, 14.08, 15.12, 14.55, 12.06, 11.26,  3.53,  1.18,  0.47,  0.05,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2014 08   0.05,  0.09,  1.60,  6.03,  9.42, 12.44, 13.75, 12.62, 13.19, 12.34, 13.14,  4.19,  0.99,  0.09,  0.05,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2014 09   0.05,  0.19,  2.12,  6.78, 10.41, 10.55, 11.40, 12.44, 13.33, 12.62, 16.16,  3.44,  0.42,  0.00,  0.05,  0.05,  0.00,  0.00,  0.00,  0.00,  0.00
2014 10   0.05,  0.19,  2.31,  7.40,  9.57,  9.57, 11.12, 11.78, 13.48, 12.21, 18.61,  3.44,  0.19,  0.05,  0.00,  0.05,  0.00,  0.00,  0.00,  0.00,  0.00
2014 11   0.05,  0.14,  2.31,  7.07,  8.44, 10.13, 10.04, 12.35, 13.24, 12.25, 20.78,  2.73,  0.38,  0.05,  0.05,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2014 12   0.05,  0.19,  1.42,  6.79,  7.08,  9.86, 10.80, 12.17, 12.26, 15.42, 20.66,  2.69,  0.52,  0.09,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2014 13   0.05,  0.09,  0.85,  5.19,  6.60,  8.68,  9.90, 11.41, 12.64, 15.23, 20.74,  6.69,  1.74,  0.19,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2014 14   0.05,  0.09,  0.66,  3.91,  6.74,  7.40,  9.95, 10.47, 11.69, 14.95, 19.94,  9.81,  3.58,  0.71,  0.05,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2014 15   0.05,  0.09,  0.57,  2.59,  6.45,  7.35,  8.53, 10.13, 10.22, 13.19, 17.80, 13.57,  6.88,  2.21,  0.33,  0.00,  0.05,  0.00,  0.00,  0.00,  0.00
2014 16   0.05,  0.05,  0.24,  2.03,  5.09,  5.89,  7.35,  8.81,  9.28, 10.69, 14.13, 15.36, 11.96,  7.40,  1.27,  0.28,  0.14,  0.00,  0.00,  0.00,  0.00
2014 17   0.05,  0.00,  0.28,  1.65,  3.77,  5.04,  5.89,  6.74,  7.72,  9.51,  9.04, 12.72, 13.61, 12.20,  8.67,  2.64,  0.33,  0.05,  0.09,  0.00,  0.00
2014 18   0.05,  0.05,  0.09,  1.37,  2.97,  4.15,  4.95,  5.46,  6.12,  7.07,  7.87,  8.71, 10.50, 11.16, 11.73, 10.13,  5.32,  1.84,  0.33,  0.14,  0.00
2014 19   0.05,  0.00,  0.33,  1.13,  2.54,  3.72,  4.52,  4.90,  5.46,  5.89,  6.83,  8.43,  7.72,  9.89, 11.16, 10.08,  9.00,  4.99,  2.36,  0.85,  0.14
2014 20   0.05,  0.09,  0.33,  1.13,  2.03,  3.96,  4.33,  4.62,  5.61,  5.98,  7.25,  6.55,  7.87,  9.70, 10.74,  9.80,  9.28,  6.36,  2.97,  1.08,  0.28
2014 21   0.05,  0.14,  0.38,  0.85,  1.41,  3.11,  4.66,  4.43,  5.37,  6.74,  7.82,  6.12,  8.34,  9.56,  9.94, 10.55,  8.76,  6.55,  3.49,  1.46,  0.28
2014 22   0.09,  0.09,  0.28,  1.04,  1.37,  2.50,  3.20,  4.85,  5.51,  6.64,  7.44,  8.24,  8.90, 10.08, 10.88,  8.57,  9.09,  6.12,  3.53,  1.37,  0.19
2014 23   0.00,  0.09,  0.42,  0.71,  1.46,  2.45,  3.20,  3.91,  5.84,  6.83,  8.62,  9.00, 10.50, 10.03, 10.17,  9.14,  8.67,  5.09,  2.64,  0.89,  0.33
2014 24   0.00,  0.05,  0.28,  0.57,  1.18,  2.36,  3.34,  4.57,  6.31,  8.29,  7.25,  9.33, 10.32,  9.84, 11.68,  9.99,  7.49,  4.24,  1.88,  0.85,  0.19
2014 25   0.00,  0.19,  0.19,  0.61,  1.51,  2.97,  4.38,  4.90,  6.69,  7.82,  9.47, 10.17,  9.28,  9.66, 10.03,  8.34,  6.88,  4.47,  1.65,  0.66,  0.14
2014 26   0.05,  0.24,  0.24,  1.32,  1.84,  4.80,  5.79,  6.36,  7.30,  9.89,  8.57,  9.66,  9.42,  8.24,  8.67,  7.11,  5.84,  2.83,  1.46,  0.28,  0.09
2014 27   0.00,  0.38,  0.94,  1.55,  4.10,  5.75,  7.11,  9.47,  8.86,  8.67,  8.38,  8.05,  8.48,  7.91,  6.50,  5.75,  5.09,  2.12,  0.80,  0.05,  0.05
2014 28   0.19,  0.47,  1.70,  2.69,  6.31,  9.61,  8.72,  8.25, 10.13,  7.78,  8.29,  7.40,  6.79,  6.69,  5.61,  5.00,  2.97,  1.27,  0.09,  0.00,  0.05
2014 29   0.33,  1.51,  3.77,  6.27,  9.05, 10.13,  9.47,  9.94,  7.73,  8.06,  6.74,  6.97,  5.66,  5.18,  4.48,  3.06,  1.08,  0.52,  0.00,  0.00,  0.05
2014 30   1.42,  3.16,  7.03,  8.92, 11.27, 11.65,  9.58,  7.83,  8.49,  6.60,  6.13,  5.42,  4.91,  3.21,  2.50,  1.27,  0.52,  0.05,  0.00,  0.00,  0.05
2014 31   2.17,  5.19,  9.05, 11.65, 12.35, 11.74,  9.43,  6.98,  7.64,  7.02,  5.00,  3.91,  3.02,  2.64,  1.37,  0.57,  0.19,  0.05,  0.05,  0.00,  0.00
