Mean data for UKR  Province= 13: Kirovohrad,  from 1981 to 2018<br>The data below were extracted from weekly files like: ../NPP_VH/4km/ts_L1_v1/ByWeek/VHP_L1_Mean_201301.txt<br><tt><pre>year,week,, provinceID, SMN,SMT,VCI,TCI,VHI
2013 01  0.106,262.75, 34.03, 64.66, 49.33
2013 02  0.110,263.55, 37.50, 62.71, 50.09
2013 03  0.113,264.34, 38.17, 61.44, 49.80
2013 04  0.119,265.27, 40.54, 58.29, 49.41
2013 05  0.131,266.74, 44.75, 50.61, 47.68
2013 06  0.149,268.79, 51.46, 44.43, 47.94
2013 07  0.176,271.32, 60.28, 39.05, 49.67
2013 08  0.207,274.39, 68.69, 30.95, 49.82
2013 09  0.233,277.25, 72.72, 25.63, 49.18
2013 10  0.253,279.70, 72.32, 22.97, 47.64
2013 11  0.267,281.82, 69.57, 22.88, 46.22
2013 12  0.280,283.91, 68.47, 21.32, 44.90
2013 13  0.295,285.95, 68.49, 21.06, 44.77
2013 14  0.318,288.44, 68.54, 20.20, 44.37
2013 15  0.351,291.29, 69.04, 18.69, 43.86
2013 16  0.389,293.90, 69.56, 16.84, 43.19
2013 17  0.430,296.08, 71.28, 16.53, 43.90
2013 18  0.466,297.46, 72.16, 20.07, 46.10
2013 19  0.497,298.21, 70.86, 26.49, 48.68
2013 20  0.523,298.59, 69.54, 31.11, 50.32
2013 21  0.547,298.74, 70.11, 35.44, 52.78
2013 22  0.568,298.72, 70.26, 40.91, 55.58
2013 23  0.588,298.60, 73.37, 43.44, 58.40
2013 24  0.604,298.53, 77.41, 45.45, 61.43
2013 25  0.614,298.49, 79.42, 47.13, 63.27
2013 26  0.615,298.31, 78.28, 49.92, 64.10
2013 27  0.614,298.15, 76.71, 52.31, 64.51
2013 28  0.607,298.16, 75.50, 52.74, 64.12
2013 29  0.594,298.13, 74.03, 53.14, 63.59
2013 30  0.576,298.21, 72.69, 50.92, 61.81
2013 31  0.551,298.29, 69.96, 46.57, 58.27
2013 32  0.518,298.08, 65.45, 44.82, 55.14
2013 33  0.480,297.12, 58.76, 50.35, 54.55
2013 34  0.439,295.59, 50.42, 61.47, 55.94
2013 35  0.395,293.29, 39.26, 77.96, 58.61
2013 36  0.347,290.62, 24.46, 90.28, 57.37
2013 37  0.311,288.44, 17.09, 93.18, 55.13
2013 38  0.286,286.87, 14.79, 92.93, 53.86
2013 39  0.270,285.78, 15.21, 89.34, 52.27
2013 40  0.260,284.96, 17.77, 85.12, 51.45
2013 41  0.254,284.34, 22.33, 73.32, 47.83
2013 42  0.248,283.57, 27.63, 59.74, 43.69
2013 43  0.238,282.46, 30.71, 48.28, 39.51
2013 44  0.229,281.21, 33.01, 34.35, 33.69
2013 45  0.223,279.76, 45.36, 23.31, 34.32
2013 46  0.216,277.51, 48.35, 24.99, 36.66
2013 47  0.209,275.61, 50.52, 27.31, 38.93
2013 48  0.198,273.86, 50.81, 29.87, 40.35
2013 49  0.183,272.16, 51.44, 30.21, 40.83
2013 50  0.172,271.14, 50.65, 28.07, 39.37
2013 51  0.160,270.17, 48.43, 29.71, 39.08
2013 52  0.148,269.34, 44.78, 33.66, 39.22
2014 01  0.137,268.50, 43.71, 38.73, 41.22
2014 02  0.127,267.42, 42.79, 45.73, 44.25
2014 03  0.119,266.49, 40.15, 52.43, 46.29
2014 04  0.115,266.35, 39.25, 53.89, 46.57
2014 05  0.116,267.10, 40.69, 48.98, 44.83
2014 06  0.125,268.88, 44.45, 43.78, 44.12
2014 07  0.141,271.46, 50.44, 38.32, 44.38
2014 08  0.169,274.88, 58.06, 29.08, 43.57
2014 09  0.202,278.60, 64.84, 21.13, 42.98
2014 10  0.237,282.15, 69.56, 15.00, 42.28
2014 11  0.267,285.37, 71.06,  9.74, 40.40
2014 12  0.293,287.90, 73.15,  7.01, 40.08
2014 13  0.316,289.77, 75.04,  7.03, 41.03
2014 14  0.341,291.33, 75.35,  8.53, 41.94
2014 15  0.370,292.56, 74.38, 12.74, 43.56
2014 16  0.403,293.56, 73.63, 18.94, 46.29
2014 17  0.439,294.50, 73.96, 27.05, 50.52
2014 18  0.470,295.23, 73.57, 36.72, 55.16
2014 19  0.501,296.12, 72.34, 44.08, 58.21
2014 20  0.526,296.30, 70.47, 51.14, 60.81
2014 21  0.549,296.01, 70.94, 59.67, 65.31
2014 22  0.571,296.12, 71.50, 63.09, 67.29
2014 23  0.597,296.66, 76.83, 59.81, 68.32
2014 24  0.614,296.79, 81.32, 60.50, 70.91
2014 25  0.624,296.77, 83.39, 62.17, 72.78
2014 26  0.627,296.58, 82.44, 64.71, 73.58
2014 27  0.626,296.77, 80.85, 63.69, 72.27
2014 28  0.620,297.20, 79.34, 60.28, 69.81
2014 29  0.608,297.84, 77.87, 55.48, 66.67
2014 30  0.591,298.67, 76.69, 47.53, 62.11
2014 31  0.566,299.17, 73.92, 39.96, 56.94
2014 32  0.539,299.40, 71.01, 34.56, 52.78
2014 33  0.508,299.25, 66.94, 33.18, 50.06
2014 34  0.476,298.97, 61.74, 31.83, 46.78
2014 35  0.445,298.40, 56.07, 28.62, 42.34
2014 36  0.418,297.52, 49.33, 22.66, 35.99
2014 37  0.392,296.65, 44.96, 17.80, 31.38
2014 38  0.368,295.51, 41.30, 16.36, 28.83
2014 39  0.343,293.82, 37.68, 17.43, 27.55
2014 40  0.320,291.73, 35.40, 22.19, 28.79
2014 41  0.297,289.55, 34.56, 25.23, 29.90
2014 42  0.274,287.48, 35.08, 23.17, 29.13
2014 43  0.254,285.49, 35.50, 22.34, 28.94
2014 44  0.234,283.17, 35.24, 20.50, 27.89
2014 45  0.213,280.38, 44.00, 20.39, 32.20
2014 46  0.192,277.50, 43.18, 27.02, 35.09
2014 47  0.174,274.94, 42.18, 33.72, 37.97
2014 48  0.159,272.70, 40.91, 38.59, 39.76
2014 49  0.144,270.21, 40.42, 42.65, 41.53
2014 50  0.133,268.18, 38.72, 45.67, 42.19
2014 51  0.123,266.79, 37.37, 48.05, 42.68
2014 52  0.115,265.85, 34.94, 50.39, 42.64
2015 01  0.109,265.26, 36.02, 53.71, 44.84
2015 02  0.104,264.96, 36.46, 56.68, 46.54
2015 03  0.103,265.59, 35.55, 56.03, 45.78
2015 04  0.106,267.10, 36.81, 51.01, 43.91
2015 05  0.110,268.52, 38.72, 44.00, 41.36
2015 06  0.114,269.72, 40.83, 40.94, 40.89
2015 07  0.120,271.29, 43.31, 38.94, 41.12
2015 08  0.135,274.45, 47.37, 30.57, 38.97
2015 09  0.152,277.91, 50.57, 23.39, 36.98
2015 10  0.171,281.00, 51.62, 18.59, 35.11
2015 11  0.190,283.38, 50.54, 16.89, 33.72
2015 12  0.204,285.11, 50.44, 16.84, 33.64
2015 13  0.222,286.86, 51.42, 17.55, 34.49
2015 14  0.245,288.74, 52.43, 18.76, 35.59
2015 15  0.272,290.57, 52.21, 21.92, 37.07
2015 16  0.308,292.86, 52.89, 22.65, 37.77
2015 17  0.352,295.20, 55.32, 22.45, 38.88
2015 18  0.395,296.78, 57.61, 25.32, 41.48
2015 19  0.435,297.43, 57.62, 33.32, 45.47
2015 20  0.476,298.00, 58.60, 36.64, 47.62
2015 21  0.517,299.23, 62.40, 31.81, 47.11
2015 22  0.550,299.71, 64.72, 33.54, 49.13
2015 23  0.579,299.65, 70.04, 35.83, 52.94
2015 24  0.603,299.16, 76.80, 41.35, 59.07
2015 25  0.618,298.32, 81.05, 49.56, 65.30
2015 26  0.630,297.79, 83.21, 54.95, 69.08
2015 27  0.639,297.60, 84.71, 57.27, 70.99
2015 28  0.641,297.59, 85.28, 57.38, 71.33
2015 29  0.637,297.79, 85.73, 55.99, 70.86
2015 30  0.627,298.20, 86.00, 51.39, 68.70
2015 31  0.610,298.37, 85.27, 46.27, 65.77
2015 32  0.580,298.44, 82.55, 42.14, 62.35
2015 33  0.547,298.50, 78.45, 39.46, 58.96
2015 34  0.511,298.45, 72.95, 36.80, 54.87
2015 35  0.473,298.05, 65.72, 32.46, 49.09
2015 36  0.438,297.69, 56.79, 21.41, 39.10
2015 37  0.409,297.01, 50.78, 14.80, 32.79
2015 38  0.381,296.01, 45.73, 12.07, 28.90
2015 39  0.354,294.53, 40.79, 11.31, 26.05
2015 40  0.327,292.50, 37.48, 15.33, 26.40
2015 41  0.300,290.12, 35.40, 20.37, 27.89
2015 42  0.272,287.83, 34.80, 20.12, 27.47
2015 43  0.245,285.41, 33.62, 23.30, 28.48
2015 44  0.217,282.90, 31.45, 22.39, 26.95
2015 45  0.186,280.22, 35.85, 20.70, 28.29
2015 46  0.162,277.12, 33.82, 28.27, 31.03
2015 47  0.145,274.52, 32.94, 35.54, 34.24
2015 48  0.135,272.67, 32.99, 38.36, 35.68
2015 49  0.131,271.27, 35.14, 36.11, 35.61
2015 50  0.129,269.83, 36.36, 35.75, 36.06
2015 51  0.124,268.42, 36.78, 38.80, 37.79
2015 52  0.119,267.07, 35.66, 44.08, 39.85
2016 01  0.112,265.18, 36.52, 53.54, 45.01
2016 02  0.104,263.65, 36.03, 62.23, 49.11
2016 03  0.101,263.46, 34.80, 64.87, 49.83
2016 04  0.098,263.95, 34.21, 63.03, 48.62
2016 05  0.099,265.30, 35.20, 55.69, 45.45
2016 06  0.103,267.53, 37.27, 48.77, 43.02
2016 07  0.110,270.24, 39.89, 42.72, 41.31
2016 08  0.119,272.78, 42.16, 36.37, 39.27
2016 09  0.127,274.76, 42.50, 33.40, 37.95
2016 10  0.138,276.73, 41.61, 32.31, 36.96
2016 11  0.191,282.99, 50.70, 18.42, 34.56
2016 12  0.213,285.69, 52.76, 14.77, 33.77
2016 13  0.240,288.38, 56.23, 11.91, 34.07
2016 14  0.273,290.70, 59.34, 10.91, 35.13
2016 15  0.310,292.39, 60.90, 13.23, 37.07
2016 16  0.353,293.80, 62.67, 17.10, 39.88
2016 17  0.392,294.57, 63.60, 26.19, 44.89
2016 18  0.423,294.52, 63.02, 41.87, 52.44
2016 19  0.451,294.54, 60.58, 57.64, 59.11
2016 20  0.477,294.51, 58.42, 67.09, 62.76
2016 21  0.503,294.34, 58.05, 74.31, 66.18
2016 22  0.530,294.40, 58.17, 77.31, 67.74
2016 23  0.560,294.73, 62.85, 75.65, 69.25
2016 24  0.588,295.09, 70.99, 74.65, 72.82
2016 25  0.614,295.58, 79.24, 72.25, 75.75
2016 26  0.632,295.91, 83.64, 70.32, 76.98
2016 27  0.644,296.46, 85.81, 66.15, 75.98
2016 28  0.645,296.94, 86.30, 62.13, 74.22
