Mean data for UKR  Province= 14: Luhans'k,  from 1981 to 2018<br>The data below were extracted from weekly files like: ../NPP_VH/4km/ts_L1_v1/ByWeek/VHP_L1_Mean_201301.txt<br><tt><pre>year,week,, provinceID, SMN,SMT,VCI,TCI,VHI
2013 01  0.097,260.09, 43.66, 68.11, 55.89
2013 02  0.092,259.46, 43.86, 71.77, 57.82
2013 03  0.090,259.53, 43.72, 71.73, 57.73
2013 04  0.093,260.40, 44.92, 69.73, 57.33
2013 05  0.096,261.74, 43.16, 63.22, 53.19
2013 06  0.104,264.17, 42.55, 50.49, 46.52
2013 07  0.115,267.17, 43.64, 38.72, 41.18
2013 08  0.130,270.32, 48.40, 29.87, 39.13
2013 09  0.146,273.31, 53.15, 23.80, 38.47
2013 10  0.163,276.36, 55.63, 20.02, 37.82
2013 11  0.181,279.36, 57.18, 20.05, 38.62
2013 12  0.201,282.50, 59.24, 18.18, 38.71
2013 13  0.227,285.54, 61.93, 16.33, 39.13
2013 14  0.259,288.82, 64.49, 12.88, 38.69
2013 15  0.298,292.22, 67.53,  8.51, 38.02
2013 16  0.343,295.06, 69.91,  6.52, 38.22
2013 17  0.387,296.99, 71.20,  6.93, 39.06
2013 18  0.430,298.40, 72.79,  8.71, 40.75
2013 19  0.467,299.50, 72.65, 10.06, 41.36
2013 20  0.493,300.13, 69.35, 14.27, 41.81
2013 21  0.513,300.30, 65.02, 23.13, 44.08
2013 22  0.527,300.31, 59.87, 26.79, 43.33
2013 23  0.536,300.19, 57.35, 30.28, 43.82
2013 24  0.540,300.20, 57.60, 33.06, 45.34
2013 25  0.541,300.43, 58.61, 32.28, 45.46
2013 26  0.536,300.47, 57.98, 33.90, 45.95
2013 27  0.526,300.40, 56.07, 35.50, 45.79
2013 28  0.513,300.21, 54.00, 38.26, 46.14
2013 29  0.497,299.54, 50.10, 45.38, 47.74
2013 30  0.483,299.26, 48.74, 49.33, 49.03
2013 31  0.471,299.26, 49.60, 50.07, 49.83
2013 32  0.453,298.68, 46.85, 55.26, 51.05
2013 33  0.431,297.51, 42.05, 62.96, 52.50
2013 34  0.411,296.23, 38.15, 70.49, 54.32
