Mean data for UKR  Province= 15: L'viv,  from 1981 to 2018<br>The data below were extracted from weekly files like: ../NPP_VH/4km/ts_L1_v1/ByWeek/VHP_L1_Mean_201301.txt<br><tt><pre>year,week,, provinceID, SMN,SMT,VCI,TCI,VHI
2013 01  0.143,264.47, 31.77, 57.89, 44.83
2013 02  0.138,264.36, 31.66, 59.13, 45.39
2013 03  0.134,264.35, 30.95, 62.63, 46.79
2013 04  0.127,263.87, 28.38, 68.79, 48.58
2013 05  0.120,263.43, 24.01, 76.22, 50.11
2013 06  0.122,263.98, 22.92, 76.31, 49.62
2013 07  0.126,265.07, 23.22, 73.18, 48.20
2013 08  0.130,266.12, 24.84, 71.32, 48.08
2013 09  0.134,266.71, 25.78, 73.83, 49.80
2013 10  0.139,267.34, 25.15, 76.01, 50.58
2013 11  0.148,268.09, 22.69, 83.08, 52.88
2013 12  0.164,269.36, 21.66, 88.54, 55.10
2013 13  0.191,271.38, 21.31, 92.22, 56.77
2013 14  0.228,274.37, 20.59, 91.85, 56.22
2013 15  0.290,278.93, 29.52, 85.38, 57.45
2013 16  0.368,283.87, 44.28, 71.39, 57.83
2013 17  0.432,287.15, 52.47, 59.18, 55.83
2013 18  0.489,289.30, 58.86, 49.46, 54.16
2013 19  0.536,290.48, 61.84, 47.40, 54.62
2013 20  0.577,291.39, 65.34, 44.66, 55.00
2013 21  0.614,292.54, 70.30, 37.75, 54.03
2013 22  0.643,293.23, 73.35, 34.83, 54.09
2013 23  0.665,293.49, 77.23, 30.61, 53.92
2013 24  0.679,293.65, 79.95, 26.26, 53.10
2013 25  0.688,294.09, 82.11, 19.84, 50.98
2013 26  0.690,294.35, 81.41, 16.44, 48.93
2013 27  0.680,293.79, 76.69, 24.55, 50.62
2013 28  0.671,293.51, 74.61, 31.44, 53.03
2013 29  0.673,294.12, 79.06, 26.98, 53.02
2013 30  0.669,294.61, 80.72, 24.28, 52.50
2013 31  0.652,294.35, 75.01, 26.45, 50.73
2013 32  0.637,293.93, 69.74, 30.13, 49.93
2013 33  0.625,293.37, 66.52, 35.07, 50.80
2013 34  0.602,292.27, 59.67, 44.33, 52.00
2013 35  0.572,290.45, 51.58, 58.56, 55.07
2013 36  0.539,288.40, 46.38, 66.40, 56.39
2013 37  0.516,286.81, 47.25, 66.71, 56.98
2013 38  0.502,285.88, 47.63, 65.86, 56.74
2013 39  0.481,285.17, 43.85, 63.60, 53.72
2013 40  0.463,284.62, 40.15, 60.37, 50.26
2013 41  0.442,283.96, 38.63, 46.28, 42.45
2013 42  0.425,283.47, 44.26, 30.51, 37.39
2013 43  0.405,282.86, 49.72, 22.71, 36.22
2013 44  0.378,281.64, 52.02, 16.37, 34.20
2013 45  0.363,280.56, 63.65, 11.76, 37.71
2013 46  0.351,279.18, 68.13, 12.53, 40.33
2013 47  0.334,277.49, 70.52, 14.03, 42.28
2013 48  0.321,275.84, 74.61, 16.41, 45.51
2013 49  0.309,274.42, 77.39, 16.76, 47.07
