Mean data for UKR  Province= 16: Mykolayiv,  from 1981 to 2018<br>The data below were extracted from weekly files like: ../NPP_VH/4km/ts_L1_v1/ByWeek/VHP_L1_Mean_201301.txt<br><tt><pre>year,week,, provinceID, SMN,SMT,VCI,TCI,VHI
2013 01  0.177,268.62, 54.13, 38.81, 46.46
2013 02  0.180,269.58, 55.69, 35.67, 45.67
2013 03  0.177,270.15, 53.01, 35.74, 44.36
2013 04  0.177,270.81, 51.04, 35.76, 43.40
2013 05  0.185,272.01, 53.06, 31.81, 42.43
2013 06  0.200,273.77, 58.13, 27.21, 42.66
2013 07  0.223,276.22, 64.31, 22.19, 43.25
2013 08  0.246,278.49, 69.31, 19.80, 44.56
2013 09  0.272,280.97, 74.06, 16.99, 45.52
2013 10  0.294,283.32, 75.73, 14.82, 45.27
2013 11  0.309,285.08, 74.15, 14.22, 44.18
2013 12  0.325,287.00, 73.41, 13.77, 43.59
2013 13  0.342,288.93, 72.67, 14.66, 43.67
2013 14  0.365,291.25, 72.43, 13.77, 43.10
2013 15  0.398,293.81, 72.96, 12.30, 42.63
2013 16  0.433,296.01, 73.33, 12.32, 42.83
2013 17  0.467,297.84, 73.75, 14.09, 43.92
2013 18  0.492,299.04, 73.09, 17.49, 45.29
2013 19  0.507,299.88, 69.98, 21.93, 45.95
2013 20  0.517,300.40, 66.29, 26.50, 46.40
2013 21  0.521,300.20, 63.29, 37.50, 50.40
2013 22  0.521,300.09, 60.87, 44.25, 52.56
2013 23  0.523,300.17, 62.63, 45.43, 54.03
2013 24  0.527,300.24, 65.31, 46.32, 55.82
2013 25  0.531,300.33, 67.58, 48.28, 57.93
2013 26  0.533,300.33, 68.26, 50.05, 59.16
2013 27  0.533,300.40, 68.88, 51.20, 60.04
2013 28  0.527,300.38, 67.94, 51.41, 59.67
2013 29  0.515,300.44, 66.18, 50.55, 58.37
2013 30  0.498,300.76, 64.33, 46.72, 55.53
2013 31  0.475,301.03, 62.13, 41.37, 51.75
2013 32  0.447,300.98, 58.55, 38.19, 48.37
2013 33  0.415,299.93, 52.83, 42.97, 47.90
2013 34  0.385,298.25, 46.58, 53.92, 50.25
2013 35  0.353,295.81, 38.91, 71.10, 55.00
2013 36  0.321,293.26, 30.45, 83.24, 56.84
2013 37  0.299,291.24, 25.10, 86.85, 55.98
2013 38  0.285,289.70, 23.62, 88.46, 56.04
2013 39  0.277,288.59, 24.30, 86.91, 55.60
2013 40  0.271,287.74, 26.47, 81.29, 53.88
2013 41  0.270,287.02, 30.36, 69.88, 50.11
2013 42  0.272,286.23, 35.25, 55.35, 45.27
2013 43  0.270,285.20, 37.94, 40.80, 39.31
2013 44  0.268,284.02, 40.83, 27.96, 34.31
2013 45  0.269,282.51, 49.38, 21.03, 35.18
2013 46  0.269,280.22, 53.63, 23.24, 38.41
2013 47  0.273,278.50, 58.24, 21.11, 39.67
2013 48  0.273,277.08, 62.90, 19.58, 41.25
2013 49  0.268,275.87, 67.19, 16.36, 41.78
2013 50  0.262,275.09, 70.22, 11.53, 40.87
2013 51  0.252,274.60, 71.40, 10.23, 40.82
2013 52  0.238,274.10, 69.25, 12.28, 40.77
2014 01  0.218,273.39, 65.84, 16.26, 41.06
2014 02  0.198,272.29, 60.17, 23.52, 41.85
2014 03  0.175,270.89, 52.20, 33.26, 42.73
2014 04  0.153,270.11, 44.88, 38.57, 41.73
2014 05  0.145,270.36, 43.14, 37.37, 40.25
2014 06  0.151,271.74, 45.57, 33.72, 39.64
2014 07  0.171,274.13, 51.13, 28.75, 39.94
2014 08  0.209,277.67, 59.93, 22.19, 41.06
2014 09  0.248,281.36, 68.25, 15.85, 42.05
2014 10  0.283,284.24, 73.20, 12.08, 42.64
2014 11  0.315,286.94, 75.57,  7.76, 41.67
2014 12  0.343,289.20, 77.68,  6.14, 41.91
2014 13  0.368,290.97, 78.69,  7.21, 42.95
2014 14  0.394,292.48, 78.77,  8.70, 43.73
2014 15  0.420,293.69, 77.73, 12.56, 45.15
2014 16  0.447,294.70, 76.26, 19.47, 47.86
2014 17  0.472,295.59, 74.69, 29.13, 51.91
2014 18  0.491,296.25, 72.72, 38.58, 55.65
2014 19  0.509,297.08, 70.20, 44.96, 57.58
2014 20  0.519,297.37, 66.62, 51.62, 59.12
2014 21  0.526,297.76, 64.90, 56.79, 60.85
2014 22  0.530,298.16, 63.72, 58.54, 61.13
2014 23  0.535,298.74, 66.44, 55.84, 61.14
2014 24  0.533,299.21, 67.45, 53.80, 60.62
2014 25  0.526,299.60, 66.22, 53.68, 59.95
2014 26  0.514,299.83, 63.13, 53.78, 58.46
2014 27  0.500,300.47, 60.45, 51.04, 55.74
2014 28  0.485,301.41, 57.44, 45.21, 51.33
2014 29  0.466,302.31, 53.78, 38.87, 46.32
2014 30  0.445,303.22, 50.84, 31.17, 41.00
2014 31  0.423,303.66, 48.04, 24.64, 36.34
2014 32  0.403,303.85, 46.10, 19.36, 32.73
2014 33  0.383,303.70, 43.33, 16.88, 30.10
2014 34  0.363,303.36, 39.62, 15.15, 27.38
2014 35  0.344,302.66, 35.92, 13.97, 24.95
2014 36  0.327,301.52, 32.17, 12.95, 22.56
2014 37  0.311,300.37, 28.99, 12.55, 20.77
2014 38  0.296,299.04, 27.00, 12.91, 19.95
2014 39  0.282,297.08, 26.05, 15.23, 20.65
2014 40  0.270,294.73, 26.51, 20.37, 23.45
2014 41  0.257,292.16, 27.59, 24.57, 26.07
2014 42  0.242,289.52, 28.79, 25.15, 26.98
2014 43  0.229,287.16, 29.44, 24.55, 26.99
2014 44  0.215,284.57, 29.76, 24.14, 26.93
2014 45  0.200,281.65, 32.59, 28.38, 30.48
2014 46  0.184,278.78, 32.19, 35.33, 33.74
2014 47  0.169,276.09, 31.28, 40.12, 35.73
2014 48  0.156,273.84, 31.21, 43.28, 37.26
2014 49  0.144,271.39, 30.97, 45.71, 38.34
2014 50  0.135,269.76, 30.39, 45.03, 37.71
2014 51  0.128,268.52, 31.16, 44.28, 37.71
2014 52  0.121,267.45, 31.07, 45.82, 38.44
2015 01  0.117,266.82, 34.50, 47.81, 41.15
2015 02  0.114,266.88, 36.05, 49.02, 42.53
2015 03  0.120,268.15, 37.13, 44.30, 40.71
2015 04  0.137,270.69, 40.82, 36.33, 38.58
2015 05  0.159,273.30, 47.09, 27.70, 37.39
2015 06  0.176,275.25, 52.55, 22.58, 37.56
2015 07  0.188,277.23, 55.95, 19.14, 37.54
2015 08  0.206,280.38, 59.51, 14.41, 36.96
2015 09  0.221,283.06, 62.06, 10.97, 36.51
2015 10  0.236,285.28, 62.15,  8.96, 35.55
2015 11  0.252,287.21, 60.69,  6.84, 33.76
2015 12  0.266,288.24, 59.34,  9.48, 34.41
2015 13  0.283,289.16, 58.78, 13.85, 36.32
2015 14  0.308,290.52, 59.57, 16.58, 38.07
2015 15  0.336,291.93, 59.59, 20.56, 40.07
2015 16  0.370,293.59, 59.78, 25.39, 42.59
2015 17  0.409,295.42, 61.31, 29.95, 45.63
2015 18  0.446,296.74, 62.96, 34.82, 48.89
2015 19  0.475,297.07, 62.59, 45.58, 54.09
2015 20  0.503,297.83, 62.94, 48.30, 55.62
2015 21  0.529,299.43, 65.98, 43.79, 54.89
2015 22  0.544,300.19, 67.76, 43.64, 55.70
2015 23  0.550,300.50, 70.67, 43.16, 56.91
2015 24  0.548,300.43, 71.48, 45.00, 58.24
2015 25  0.541,300.04, 69.88, 50.27, 60.08
2015 26  0.536,299.87, 68.99, 52.70, 60.85
2015 27  0.535,299.91, 69.58, 53.62, 61.60
2015 28  0.531,300.11, 69.13, 52.38, 60.75
2015 29  0.523,300.54, 68.70, 49.13, 58.92
2015 30  0.511,301.08, 68.27, 43.82, 56.04
2015 31  0.491,301.39, 67.07, 38.23, 52.65
2015 32  0.464,301.50, 64.18, 34.03, 49.10
2015 33  0.436,301.63, 59.52, 30.93, 45.22
2015 34  0.409,301.67, 54.41, 28.04, 41.22
2015 35  0.383,301.35, 48.59, 25.40, 37.00
2015 36  0.359,300.96, 42.30, 18.45, 30.37
2015 37  0.337,300.18, 36.86, 14.85, 25.85
2015 38  0.317,299.07, 32.75, 13.31, 23.03
