Mean data for UKR  Province= 17: Odessa,  from 1981 to 2018<br>The data below were extracted from weekly files like: ../NPP_VH/4km/ts_L1_v1/ByWeek/VHP_L1_Mean_201301.txt<br><tt><pre>year,week,, provinceID, SMN,SMT,VCI,TCI,VHI
2013 01  0.171,268.88, 48.79, 46.79, 47.79
2013 02  0.172,269.68, 51.49, 43.32, 47.40
2013 03  0.174,270.39, 51.73, 41.48, 46.60
2013 04  0.173,270.94, 50.94, 42.20, 46.56
2013 05  0.178,271.74, 51.82, 40.98, 46.39
2013 06  0.190,273.23, 55.78, 37.80, 46.78
2013 07  0.213,275.60, 61.85, 31.20, 46.51
2013 08  0.240,277.87, 69.07, 26.62, 47.81
2013 09  0.275,280.66, 76.68, 23.19, 49.90
2013 10  0.304,283.33, 80.38, 19.63, 49.98
2013 11  0.326,285.35, 78.03, 18.21, 48.09
2013 12  0.347,287.41, 77.48, 17.43, 47.44
2013 13  0.368,289.41, 75.74, 17.67, 46.69
2013 14  0.394,291.62, 74.65, 15.65, 45.14
2013 15  0.428,293.90, 75.69, 14.41, 45.04
2013 16  0.470,295.77, 76.84, 14.69, 45.77
2013 17  0.511,297.15, 78.26, 16.66, 47.46
2013 18  0.545,297.95, 79.30, 21.22, 50.27
2013 19  0.566,298.49, 78.80, 26.38, 52.59
2013 20  0.578,298.64, 78.03, 33.99, 56.01
2013 21  0.582,298.19, 77.19, 46.50, 61.85
2013 22  0.579,298.05, 75.96, 53.35, 64.66
2013 23  0.575,298.30, 76.36, 55.31, 65.84
2013 24  0.571,298.39, 76.12, 57.16, 66.64
2013 25  0.566,298.61, 74.11, 58.43, 66.28
2013 26  0.559,298.84, 71.59, 57.90, 64.75
2013 27  0.552,299.06, 70.01, 58.65, 64.34
2013 28  0.540,299.15, 68.29, 59.09, 63.71
2013 29  0.527,299.40, 66.28, 57.35, 61.83
2013 30  0.510,299.77, 63.50, 53.49, 58.51
2013 31  0.489,300.00, 60.18, 48.99, 54.59
2013 32  0.465,300.19, 56.82, 43.51, 50.17
2013 33  0.439,299.45, 51.12, 45.82, 48.47
2013 34  0.413,298.10, 44.57, 53.75, 49.15
2013 35  0.387,296.11, 38.55, 67.19, 52.87
2013 36  0.363,293.97, 34.78, 77.94, 56.37
2013 37  0.346,292.14, 33.45, 82.66, 58.06
2013 38  0.333,290.73, 33.65, 85.46, 59.56
2013 39  0.324,289.69, 34.66, 86.37, 60.51
2013 40  0.318,288.89, 37.02, 81.67, 59.36
2013 41  0.316,288.11, 41.52, 70.83, 56.20
2013 42  0.320,287.39, 48.10, 55.22, 51.67
2013 43  0.319,286.40, 52.07, 37.10, 44.57
2013 44  0.320,285.29, 56.99, 23.86, 40.42
2013 45  0.325,284.03, 67.37, 18.43, 42.89
2013 46  0.323,281.91, 71.53, 21.09, 46.30
2013 47  0.325,280.08, 76.72, 23.25, 50.00
2013 48  0.324,278.59, 80.83, 24.44, 52.64
2013 49  0.313,277.16, 83.56, 23.72, 53.64
2013 50  0.298,275.86, 84.04, 20.90, 52.46
2013 51  0.279,274.86, 81.53, 20.64, 51.08
2013 52  0.257,274.14, 76.76, 23.78, 50.26
2014 01  0.228,273.07, 69.21, 28.86, 49.03
2014 02  0.199,271.46, 60.54, 36.67, 48.60
2014 03  0.173,269.81, 51.79, 43.71, 47.74
2014 04  0.157,269.19, 46.33, 47.90, 47.11
2014 05  0.153,269.61, 44.55, 47.70, 46.12
2014 06  0.161,271.23, 47.10, 44.37, 45.73
2014 07  0.182,273.71, 52.77, 37.60, 45.17
2014 08  0.220,277.25, 63.06, 28.97, 45.98
2014 09  0.263,280.82, 73.03, 23.12, 48.04
2014 10  0.304,283.80, 80.13, 18.52, 49.30
2014 11  0.342,286.69, 81.58, 13.87, 47.70
2014 12  0.375,288.96, 83.83, 12.20, 48.00
2014 13  0.406,290.71, 84.08, 13.05, 48.54
2014 14  0.437,292.10, 83.98, 13.85, 48.90
2014 15  0.469,293.21, 83.98, 18.26, 51.12
2014 16  0.501,294.11, 83.07, 26.39, 54.73
2014 17  0.530,294.92, 81.79, 35.12, 58.46
2014 18  0.552,295.54, 80.20, 43.32, 61.77
2014 19  0.570,296.27, 79.03, 48.05, 63.55
2014 20  0.577,296.47, 77.00, 54.36, 65.68
2014 21  0.577,296.79, 75.20, 58.55, 66.88
2014 22  0.571,297.07, 72.81, 61.40, 67.10
2014 23  0.564,297.54, 72.25, 61.45, 66.85
2014 24  0.552,298.04, 69.87, 60.14, 65.01
2014 25  0.538,298.53, 65.39, 59.25, 62.32
2014 26  0.522,298.94, 60.66, 57.27, 58.97
2014 27  0.508,299.49, 57.82, 55.33, 56.58
2014 28  0.494,300.19, 55.94, 51.32, 53.65
2014 29  0.478,301.03, 53.35, 45.27, 49.32
2014 30  0.460,301.82, 50.34, 38.35, 44.35
2014 31  0.440,302.22, 46.99, 32.64, 39.82
2014 32  0.423,302.46, 44.79, 26.89, 35.83
2014 33  0.406,302.49, 41.53, 23.33, 32.42
2014 34  0.388,302.27, 37.46, 21.42, 29.42
2014 35  0.372,301.74, 34.28, 20.09, 27.16
2014 36  0.356,300.74, 32.72, 20.44, 26.57
2014 37  0.342,299.73, 32.19, 19.14, 25.66
2014 38  0.328,298.58, 31.75, 19.02, 25.39
2014 39  0.312,296.53, 30.81, 23.72, 27.24
2014 40  0.297,294.09, 30.68, 31.01, 30.83
2014 41  0.283,291.81, 31.85, 35.50, 33.67
2014 42  0.264,289.24, 32.72, 36.99, 34.85
2014 43  0.246,286.58, 32.58, 34.89, 33.73
2014 44  0.226,283.48, 32.10, 38.46, 35.28
2014 45  0.203,279.86, 33.22, 49.40, 41.32
2014 46  0.180,276.56, 30.74, 57.78, 44.26
2014 47  0.161,274.03, 29.03, 62.08, 45.58
2014 48  0.149,272.50, 29.44, 61.37, 45.42
2014 49  0.141,270.99, 30.33, 58.85, 44.61
2014 50  0.136,270.10, 31.35, 53.10, 42.22
2014 51  0.131,269.53, 31.81, 48.47, 40.14
2014 52  0.123,268.70, 30.62, 48.93, 39.77
2015 01  0.119,268.30, 31.46, 48.50, 39.98
2015 02  0.119,268.71, 34.68, 46.90, 40.78
2015 03  0.126,269.88, 37.52, 42.86, 40.18
2015 04  0.143,271.98, 42.51, 38.45, 40.47
2015 05  0.164,274.12, 47.97, 33.33, 40.64
2015 06  0.181,276.06, 53.37, 28.95, 41.15
2015 07  0.196,277.81, 57.32, 24.55, 40.91
2015 08  0.213,280.12, 61.75, 20.21, 40.95
