Mean data for UKR  Province= 18: Poltava,  from 1981 to 2018<br>The data below were extracted from weekly files like: ../NPP_VH/4km/ts_L1_v1/ByWeek/VHP_L1_Mean_201301.txt<br><tt><pre>year,week,, provinceID, SMN,SMT,VCI,TCI,VHI
2013 01  0.110,261.45, 41.68, 71.57, 56.62
2013 02  0.105,261.17, 41.60, 69.77, 55.68
2013 03  0.102,261.31, 41.74, 70.29, 56.01
2013 04  0.105,261.90, 44.76, 69.73, 57.25
2013 05  0.110,263.02, 46.82, 63.79, 55.31
2013 06  0.119,264.69, 47.10, 54.44, 50.77
2013 07  0.134,266.78, 47.30, 45.69, 46.49
2013 08  0.158,269.39, 51.41, 36.76, 44.08
2013 09  0.177,271.67, 54.69, 31.13, 42.91
2013 10  0.190,273.43, 54.26, 30.35, 42.31
2013 11  0.202,275.31, 52.42, 33.28, 42.84
2013 12  0.215,277.33, 52.44, 37.08, 44.76
2013 13  0.235,279.66, 53.65, 40.09, 46.87
2013 14  0.264,282.92, 56.35, 37.61, 46.97
2013 15  0.307,286.72, 59.17, 31.36, 45.27
2013 16  0.354,290.12, 62.10, 24.51, 43.31
2013 17  0.404,292.93, 65.45, 22.24, 43.84
2013 18  0.451,294.86, 67.53, 24.47, 45.99
2013 19  0.489,296.10, 66.24, 28.55, 47.39
2013 20  0.523,296.93, 64.55, 30.81, 47.68
2013 21  0.555,297.46, 65.95, 31.43, 48.69
2013 22  0.582,297.65, 67.83, 34.61, 51.22
2013 23  0.606,297.69, 72.58, 36.28, 54.43
2013 24  0.624,297.75, 76.30, 36.18, 56.24
2013 25  0.633,297.83, 77.38, 34.94, 56.16
2013 26  0.633,297.70, 75.68, 36.97, 56.32
2013 27  0.629,297.55, 73.48, 39.90, 56.69
2013 28  0.621,297.43, 71.05, 42.54, 56.80
2013 29  0.609,297.23, 68.45, 46.27, 57.36
2013 30  0.595,297.29, 67.20, 48.64, 57.92
2013 31  0.578,297.39, 65.19, 48.27, 56.73
2013 32  0.552,297.13, 60.66, 48.23, 54.44
2013 33  0.523,296.51, 55.65, 50.01, 52.83
2013 34  0.491,295.46, 49.69, 53.17, 51.43
2013 35  0.453,293.50, 42.32, 64.19, 53.26
2013 36  0.417,291.52, 35.10, 72.77, 53.93
2013 37  0.387,289.85, 30.96, 75.74, 53.35
2013 38  0.361,288.29, 28.66, 77.61, 53.13
2013 39  0.340,286.90, 28.70, 73.56, 51.13
2013 40  0.319,285.49, 29.86, 67.28, 48.58
2013 41  0.299,284.23, 32.65, 59.80, 46.24
2013 42  0.282,283.09, 36.76, 51.00, 43.88
2013 43  0.271,282.13, 42.11, 35.32, 38.71
2013 44  0.260,280.91, 45.70, 20.17, 32.92
2013 45  0.251,279.64, 57.13,  9.60, 33.35
2013 46  0.241,277.85, 60.24,  8.98, 34.59
2013 47  0.228,275.89, 61.96, 10.44, 36.18
2013 48  0.209,273.72, 60.49, 17.61, 39.04
2013 49  0.186,271.67, 54.08, 28.10, 41.09
2013 50  0.168,270.35, 48.73, 30.47, 39.60
2013 51  0.153,269.13, 45.97, 34.62, 40.29
2013 52  0.143,267.97, 47.83, 38.93, 43.38
2014 01  0.139,266.75, 53.44, 43.86, 48.65
2014 02  0.138,265.80, 55.07, 46.50, 50.79
2014 03  0.140,265.36, 57.54, 49.25, 53.40
2014 04  0.145,265.79, 61.87, 49.39, 55.63
2014 05  0.152,266.97, 64.20, 44.67, 54.44
2014 06  0.160,269.07, 63.70, 35.66, 49.68
2014 07  0.171,271.42, 61.17, 27.33, 44.25
2014 08  0.187,274.27, 61.79, 18.71, 40.25
2014 09  0.207,277.28, 65.12, 11.72, 38.42
2014 10  0.232,280.33, 68.11,  6.67, 37.39
2014 11  0.255,283.14, 69.38,  4.01, 36.69
2014 12  0.277,285.52, 71.12,  3.95, 37.53
2014 13  0.297,287.45, 72.10,  5.20, 38.65
2014 14  0.320,289.32, 72.73,  6.22, 39.48
2014 15  0.348,291.09, 71.39,  7.58, 39.48
2014 16  0.382,292.77, 70.93,  8.67, 39.80
2014 17  0.423,294.40, 71.82, 12.41, 42.11
2014 18  0.462,295.75, 71.78, 17.67, 44.73
2014 19  0.500,297.00, 70.56, 20.41, 45.49
2014 20  0.532,297.36, 68.38, 26.28, 47.33
2014 21  0.560,296.92, 68.94, 36.63, 52.78
2014 22  0.588,296.72, 70.82, 43.68, 57.25
2014 23  0.617,296.77, 77.65, 45.09, 61.37
2014 24  0.637,296.59, 82.02, 47.39, 64.70
2014 25  0.647,296.31, 83.35, 50.18, 66.76
2014 26  0.650,296.19, 82.41, 51.57, 66.99
2014 27  0.649,296.53, 80.69, 49.01, 64.85
2014 28  0.641,296.96, 78.14, 46.41, 62.27
2014 29  0.629,297.65, 75.55, 41.87, 58.71
2014 30  0.611,298.33, 72.64, 38.17, 55.41
2014 31  0.587,298.76, 68.28, 34.86, 51.57
2014 32  0.559,298.94, 63.25, 30.87, 47.06
2014 33  0.529,298.58, 58.11, 30.23, 44.17
2014 34  0.500,297.96, 53.85, 27.95, 40.90
2014 35  0.474,297.06, 50.49, 25.39, 37.94
2014 36  0.451,295.90, 48.15, 23.88, 36.01
2014 37  0.429,294.80, 46.42, 20.72, 33.57
2014 38  0.405,293.46, 44.18, 21.60, 32.89
2014 39  0.379,291.62, 42.13, 23.70, 32.91
2014 40  0.357,289.70, 42.28, 25.47, 33.88
2014 41  0.334,287.64, 44.22, 26.49, 35.36
2014 42  0.311,285.48, 46.57, 27.09, 36.84
2014 43  0.290,283.59, 49.41, 21.50, 35.46
2014 44  0.270,281.61, 50.10, 13.75, 31.92
2014 45  0.247,279.27, 57.37, 12.67, 35.01
2014 46  0.224,276.79, 55.76, 18.59, 37.16
2014 47  0.202,274.54, 53.97, 22.45, 38.18
2014 48  0.184,272.57, 52.02, 27.56, 39.78
2014 49  0.169,270.48, 48.61, 36.80, 42.71
2014 50  0.157,268.76, 45.39, 40.49, 42.94
2014 51  0.147,267.61, 44.44, 43.17, 43.81
2014 52  0.138,266.72, 46.37, 45.61, 45.99
2015 01  0.130,265.81, 50.64, 48.74, 49.69
2015 02  0.120,264.89, 48.56, 51.16, 49.86
2015 03  0.112,264.49, 46.22, 54.11, 50.16
2015 04  0.111,265.01, 47.39, 53.91, 50.65
2015 05  0.112,265.61, 47.14, 51.58, 49.36
2015 06  0.111,266.04, 44.00, 48.61, 46.31
2015 07  0.115,266.98, 40.56, 44.62, 42.59
2015 08  0.129,269.61, 42.68, 35.78, 39.23
2015 09  0.149,272.92, 47.27, 26.62, 36.95
2015 10  0.175,276.48, 51.07, 19.60, 35.33
2015 11  0.198,279.27, 52.96, 18.25, 35.60
2015 12  0.219,281.53, 55.05, 19.69, 37.37
2015 13  0.241,283.71, 56.78, 21.36, 39.07
2015 14  0.268,286.21, 58.62, 20.64, 39.63
2015 15  0.301,288.94, 58.79, 18.17, 38.48
2015 16  0.340,291.54, 59.61, 15.01, 37.31
2015 17  0.386,293.95, 61.76, 14.44, 38.10
2015 18  0.431,295.59, 63.09, 18.03, 40.56
2015 19  0.470,296.32, 61.55, 26.04, 43.80
2015 20  0.512,297.06, 61.60, 29.20, 45.40
2015 21  0.555,298.26, 66.68, 22.84, 44.76
2015 22  0.589,298.63, 71.12, 24.87, 47.99
2015 23  0.617,298.62, 77.70, 27.20, 52.45
2015 24  0.638,298.25, 83.39, 31.29, 57.34
2015 25  0.652,297.46, 85.90, 38.68, 62.29
2015 26  0.662,296.82, 87.11, 45.47, 66.29
2015 27  0.670,296.51, 88.56, 49.44, 69.00
2015 28  0.673,296.51, 89.23, 50.64, 69.93
2015 29  0.670,296.62, 89.20, 51.62, 70.41
