Mean data for UKR  Province= 19: Rivne,  from 1981 to 2018<br>The data below were extracted from weekly files like: ../NPP_VH/4km/ts_L1_v1/ByWeek/VHP_L1_Mean_201301.txt<br><tt><pre>year,week,, provinceID, SMN,SMT,VCI,TCI,VHI
2013 01  0.147,261.57, 27.38, 63.36, 45.37
2013 02  0.146,261.55, 29.88, 62.09, 45.99
2013 03  0.144,261.40, 30.53, 64.39, 47.46
2013 04  0.135,260.96, 27.84, 69.55, 48.69
2013 05  0.127,260.69, 23.73, 74.23, 48.98
2013 06  0.126,261.15, 21.03, 74.79, 47.91
2013 07  0.128,262.24, 20.51, 73.84, 47.17
2013 08  0.132,263.42, 21.96, 74.76, 48.36
2013 09  0.138,264.26, 23.35, 77.17, 50.26
2013 10  0.145,265.29, 23.44, 78.88, 51.16
2013 11  0.155,266.47, 22.22, 83.85, 53.03
2013 12  0.169,268.22, 21.35, 87.11, 54.23
2013 13  0.191,270.51, 20.52, 89.65, 55.09
2013 14  0.224,273.75, 22.09, 91.09, 56.59
2013 15  0.273,278.03, 29.16, 87.76, 58.46
2013 16  0.340,282.91, 42.74, 72.77, 57.75
2013 17  0.405,286.64, 52.75, 62.01, 57.38
2013 18  0.467,289.25, 60.85, 53.21, 57.03
2013 19  0.514,290.83, 64.48, 50.26, 57.37
2013 20  0.553,292.02, 66.96, 48.10, 57.53
2013 21  0.584,292.85, 69.63, 44.59, 57.11
2013 22  0.610,293.43, 71.90, 42.32, 57.11
2013 23  0.632,293.95, 77.19, 37.41, 57.30
2013 24  0.647,294.29, 79.75, 33.45, 56.60
2013 25  0.657,294.81, 82.56, 28.52, 55.54
2013 26  0.659,295.03, 81.98, 25.91, 53.94
2013 27  0.655,294.89, 79.27, 27.87, 53.57
2013 28  0.646,294.68, 76.22, 32.71, 54.47
2013 29  0.643,294.76, 77.44, 34.68, 56.06
2013 30  0.640,294.80, 79.32, 36.83, 58.07
2013 31  0.631,294.56, 77.66, 39.03, 58.35
2013 32  0.620,294.17, 75.90, 42.45, 59.18
2013 33  0.609,293.37, 75.27, 48.97, 62.12
2013 34  0.591,292.19, 72.57, 55.97, 64.27
2013 35  0.567,290.43, 67.44, 67.69, 67.56
2013 36  0.541,288.59, 64.78, 73.19, 68.99
2013 37  0.516,286.89, 62.74, 75.64, 69.19
2013 38  0.492,285.41, 60.63, 79.52, 70.07
2013 39  0.467,284.27, 57.12, 79.52, 68.32
2013 40  0.448,283.49, 54.38, 78.91, 66.64
2013 41  0.430,282.73, 54.77, 72.11, 63.44
2013 42  0.413,282.01, 56.67, 56.29, 56.48
2013 43  0.385,280.85, 53.16, 47.36, 50.26
2013 44  0.354,279.58, 50.82, 33.80, 42.31
2013 45  0.323,278.01, 51.12, 27.78, 39.45
2013 46  0.294,276.01, 48.77, 30.67, 39.72
2013 47  0.268,274.24, 51.43, 29.51, 40.47
2013 48  0.254,272.79, 56.32, 28.57, 42.45
2013 49  0.254,272.04, 61.38, 24.50, 42.94
2013 50  0.257,271.86, 66.58, 16.24, 41.41
2013 51  0.247,271.40, 67.75, 10.99, 39.37
2013 52  0.238,270.94, 68.68, 11.03, 39.86
2014 01  0.233,269.92, 71.13, 14.15, 42.64
2014 02  0.223,268.39, 70.61, 22.52, 46.56
2014 03  0.215,267.00, 66.18, 31.77, 48.98
2014 04  0.217,266.97, 64.16, 36.16, 50.16
2014 05  0.228,268.35, 63.20, 34.54, 48.87
2014 06  0.250,271.28, 65.48, 24.94, 45.21
2014 07  0.283,274.57, 74.00, 14.03, 44.02
2014 08  0.314,277.46, 84.05,  7.19, 45.62
2014 09  0.340,279.86, 90.94,  3.61, 47.28
2014 10  0.362,281.62, 94.29,  2.71, 48.50
2014 11  0.382,283.38, 94.82,  2.00, 48.41
2014 12  0.400,284.79, 94.90,  5.40, 50.15
2014 13  0.418,285.89, 94.51,  8.84, 51.67
2014 14  0.439,286.92, 93.90,  9.54, 51.72
2014 15  0.464,287.92, 93.82, 13.33, 53.57
2014 16  0.493,289.04, 92.67, 18.20, 55.44
2014 17  0.525,290.08, 91.01, 26.54, 58.77
2014 18  0.554,290.99, 88.83, 34.23, 61.53
2014 19  0.581,291.84, 86.00, 39.14, 62.57
2014 20  0.600,292.15, 82.56, 47.27, 64.91
2014 21  0.614,292.37, 79.92, 50.61, 65.26
2014 22  0.628,292.75, 78.18, 50.27, 64.23
2014 23  0.643,293.23, 81.37, 45.57, 63.47
2014 24  0.651,293.38, 81.42, 43.80, 62.61
2014 25  0.654,293.70, 81.18, 40.90, 61.04
2014 26  0.652,293.98, 79.37, 37.58, 58.47
2014 27  0.651,294.45, 77.64, 32.44, 55.04
2014 28  0.643,294.72, 74.93, 31.62, 53.27
2014 29  0.638,295.19, 75.46, 28.65, 52.06
2014 30  0.633,295.56, 76.54, 27.11, 51.82
2014 31  0.626,295.29, 75.64, 29.96, 52.80
2014 32  0.619,294.61, 75.24, 36.92, 56.08
2014 33  0.613,293.90, 76.60, 42.74, 59.67
2014 34  0.607,293.44, 79.32, 41.42, 60.37
2014 35  0.598,292.71, 80.56, 40.96, 60.76
2014 36  0.587,291.72, 83.34, 38.94, 61.14
2014 37  0.575,290.96, 85.53, 33.18, 59.35
2014 38  0.559,290.21, 85.18, 26.46, 55.82
2014 39  0.532,288.60, 80.63, 28.76, 54.69
2014 40  0.502,286.69, 74.41, 37.77, 56.09
2014 41  0.474,284.89, 71.39, 40.65, 56.02
2014 42  0.445,283.28, 69.00, 40.52, 54.76
2014 43  0.413,281.52, 64.25, 41.06, 52.65
2014 44  0.376,279.25, 59.80, 37.56, 48.68
2014 45  0.337,276.48, 57.93, 42.78, 50.36
2014 46  0.293,273.59, 49.48, 52.20, 50.84
2014 47  0.263,271.99, 50.44, 47.27, 48.85
2014 48  0.241,270.62, 52.18, 43.98, 48.08
2014 49  0.227,269.03, 51.96, 44.72, 48.34
2014 50  0.223,268.18, 53.40, 41.08, 47.24
2014 51  0.222,267.83, 57.34, 34.97, 46.16
2014 52  0.220,267.36, 59.97, 33.58, 46.77
2015 01  0.225,267.53, 66.79, 28.96, 47.88
2015 02  0.236,268.10, 76.32, 24.92, 50.62
2015 03  0.252,269.63, 82.90, 17.32, 50.11
2015 04  0.263,270.98, 83.81, 14.05, 48.93
2015 05  0.272,272.11, 79.58, 15.14, 47.36
2015 06  0.279,273.26, 75.37, 15.81, 45.59
2015 07  0.289,274.37, 75.31, 15.92, 45.62
2015 08  0.302,276.20, 79.73, 14.41, 47.07
2015 09  0.317,278.23, 83.42, 12.43, 47.92
2015 10  0.325,279.75, 82.41, 12.74, 47.58
2015 11  0.340,281.76, 81.83, 11.28, 46.56
2015 12  0.350,283.05, 79.11, 15.22, 47.16
2015 13  0.358,284.15, 75.21, 18.96, 47.09
2015 14  0.371,285.51, 71.47, 18.86, 45.16
2015 15  0.394,287.49, 70.24, 16.54, 43.39
2015 16  0.425,289.06, 70.41, 18.04, 44.22
2015 17  0.460,290.79, 70.30, 19.43, 44.86
2015 18  0.491,291.99, 68.48, 23.23, 45.86
2015 19  0.522,293.11, 66.52, 24.89, 45.70
2015 20  0.551,293.85, 65.77, 27.28, 46.52
2015 21  0.575,294.39, 65.95, 27.48, 46.72
2015 22  0.596,294.89, 66.11, 26.66, 46.39
2015 23  0.616,295.57, 70.66, 20.93, 45.79
2015 24  0.630,295.89, 73.03, 16.90, 44.96
2015 25  0.636,296.01, 73.72, 16.05, 44.89
2015 26  0.634,295.94, 71.80, 16.53, 44.17
2015 27  0.630,296.02, 68.90, 15.80, 42.35
2015 28  0.625,296.43, 66.98, 12.60, 39.79
2015 29  0.616,296.64, 66.10, 12.42, 39.26
2015 30  0.608,296.94, 66.12, 12.07, 39.10
2015 31  0.600,297.28, 65.04,  8.01, 36.52
2015 32  0.585,297.31, 61.15,  7.09, 34.12
2015 33  0.571,297.09, 58.75,  7.19, 32.97
2015 34  0.551,296.02, 55.28, 11.51, 33.39
2015 35  0.534,294.59, 53.44, 18.82, 36.13
2015 36  0.520,292.95, 56.35, 25.39, 40.87
2015 37  0.509,290.93, 59.74, 34.14, 46.94
2015 38  0.496,288.97, 61.69, 41.37, 51.53
2015 39  0.482,287.09, 62.06, 47.37, 54.71
2015 40  0.465,285.34, 60.22, 55.59, 57.90
2015 41  0.440,283.70, 58.41, 57.62, 58.01
2015 42  0.407,281.94, 55.03, 56.58, 55.81
2015 43  0.374,280.33, 49.93, 52.57, 51.25
2015 44  0.339,278.97, 46.01, 40.10, 43.06
2015 45  0.296,277.08, 40.95, 36.92, 38.93
2015 46  0.270,275.11, 39.90, 38.82, 39.36
2015 47  0.256,273.74, 47.26, 33.62, 40.44
2015 48  0.253,272.84, 56.00, 28.49, 42.25
2015 49  0.254,272.06, 61.59, 24.56, 43.07
2015 50  0.258,271.41, 67.06, 19.31, 43.19
2015 51  0.253,270.27, 70.06, 18.34, 44.20
2015 52  0.243,268.84, 71.09, 23.91, 47.50
2016 01  0.228,267.00, 69.26, 31.68, 50.47
2016 02  0.214,266.05, 67.04, 36.54, 51.79
2016 03  0.213,266.47, 66.02, 35.43, 50.72
2016 04  0.218,267.74, 65.83, 32.12, 48.98
2016 05  0.234,269.78, 66.49, 27.37, 46.93
2016 06  0.244,271.15, 64.02, 26.29, 45.15
2016 07  0.250,272.00, 63.01, 27.60, 45.31
2016 08  0.247,272.18, 62.01, 34.18, 48.10
2016 09  0.241,271.88, 58.73, 43.23, 50.98
2016 10  0.237,271.34, 54.35, 52.22, 53.29
2016 11  0.297,277.74, 68.14, 32.46, 50.30
2016 12  0.328,280.17, 71.91, 30.64, 51.28
2016 13  0.355,282.53, 74.30, 28.43, 51.37
2016 14  0.382,284.66, 75.21, 24.76, 49.98
2016 15  0.418,286.93, 78.44, 21.21, 49.83
2016 16  0.456,288.60, 80.66, 22.26, 51.46
2016 17  0.486,289.67, 78.68, 30.93, 54.81
2016 18  0.508,290.33, 74.09, 41.57, 57.83
2016 19  0.533,291.40, 70.36, 44.01, 57.18
2016 20  0.557,292.54, 68.21, 42.10, 55.16
2016 21  0.576,293.18, 66.70, 40.86, 53.78
2016 22  0.594,293.68, 65.96, 39.83, 52.89
2016 23  0.610,294.29, 68.55, 34.12, 51.33
2016 24  0.619,294.91, 69.16, 26.93, 48.05
2016 25  0.627,295.35, 70.86, 22.80, 46.83
2016 26  0.628,295.18, 69.73, 24.57, 47.15
2016 27  0.629,295.33, 68.99, 23.09, 46.04
2016 28  0.630,295.72, 69.53, 20.53, 45.03
2016 29  0.626,295.75, 70.46, 22.60, 46.53
2016 30  0.621,295.80, 71.48, 24.88, 48.18
2016 31  0.617,296.07, 72.13, 21.42, 46.78
