Mean data for UKR  Province= 21: Sumy,  from 1981 to 2018<br>The data below were extracted from weekly files like: ../NPP_VH/4km/ts_L1_v1/ByWeek/VHP_L1_Mean_201301.txt<br><tt><pre>year,week,, provinceID, SMN,SMT,VCI,TCI,VHI
2013 01  0.112,259.75, 32.12, 73.12, 52.62
2013 02  0.105,259.43, 30.46, 73.53, 52.00
2013 03  0.098,259.20, 28.01, 75.34, 51.68
2013 04  0.096,259.29, 32.15, 76.93, 54.54
2013 05  0.097,260.14, 37.01, 73.38, 55.19
2013 06  0.097,261.33, 35.99, 68.48, 52.24
2013 07  0.099,262.46, 31.63, 66.64, 49.14
2013 08  0.106,263.98, 30.16, 62.62, 46.39
2013 09  0.115,265.50, 31.27, 59.86, 45.56
2013 10  0.124,266.97, 32.05, 61.99, 47.02
2013 11  0.136,268.31, 33.23, 67.24, 50.24
2013 12  0.153,269.76, 35.73, 73.18, 54.45
2013 13  0.179,272.42, 38.78, 73.69, 56.24
2013 14  0.216,276.40, 43.83, 68.29, 56.06
2013 15  0.268,281.18, 50.32, 57.88, 54.10
2013 16  0.329,285.78, 57.21, 43.94, 50.58
2013 17  0.395,289.38, 62.60, 36.63, 49.62
2013 18  0.461,292.02, 67.86, 33.05, 50.46
2013 19  0.512,293.55, 69.26, 33.18, 51.22
2013 20  0.554,294.37, 69.32, 35.76, 52.54
2013 21  0.589,295.13, 71.38, 34.81, 53.10
2013 22  0.618,295.64, 72.46, 34.99, 53.73
2013 23  0.641,295.73, 74.92, 36.90, 55.91
2013 24  0.655,295.81, 76.25, 38.01, 57.13
2013 25  0.662,296.09, 77.07, 36.80, 56.94
2013 26  0.660,296.17, 74.65, 37.76, 56.20
2013 27  0.653,296.05, 72.14, 42.34, 57.24
2013 28  0.642,295.69, 68.43, 49.74, 59.08
2013 29  0.631,295.35, 66.76, 56.51, 61.64
2013 30  0.623,295.31, 67.74, 59.09, 63.42
2013 31  0.610,295.11, 66.32, 59.71, 63.02
2013 32  0.587,294.56, 61.16, 61.50, 61.33
2013 33  0.563,293.86, 55.93, 61.25, 58.59
2013 34  0.529,292.63, 46.68, 63.78, 55.23
2013 35  0.488,290.48, 33.96, 78.95, 56.45
2013 36  0.452,288.46, 26.38, 85.53, 55.95
2013 37  0.423,286.84, 24.23, 85.82, 55.02
2013 38  0.401,285.61, 25.57, 82.59, 54.08
2013 39  0.379,284.26, 27.03, 80.33, 53.68
2013 40  0.353,282.85, 28.26, 73.19, 50.72
2013 41  0.327,281.53, 29.44, 63.71, 46.58
2013 42  0.306,280.53, 34.31, 52.85, 43.58
2013 43  0.292,279.67, 42.15, 40.97, 41.56
2013 44  0.278,278.47, 47.97, 26.09, 37.03
2013 45  0.267,277.18, 53.22, 14.92, 34.07
2013 46  0.256,275.44, 57.61, 12.73, 35.17
2013 47  0.239,273.40, 59.47, 13.13, 36.30
2013 48  0.218,271.44, 59.74, 19.57, 39.65
2013 49  0.195,269.57, 56.87, 27.78, 42.33
2013 50  0.176,268.23, 53.81, 26.18, 40.00
2013 51  0.158,266.80, 49.17, 32.60, 40.88
2013 52  0.147,265.48, 47.37, 38.44, 42.91
2014 01  0.141,264.21, 49.66, 45.61, 47.64
2014 02  0.138,262.88, 52.38, 51.75, 52.06
2014 03  0.138,262.25, 56.94, 56.30, 56.62
2014 04  0.142,262.63, 66.37, 56.58, 61.48
2014 05  0.149,263.92, 75.57, 50.49, 63.03
2014 06  0.163,266.38, 79.88, 38.37, 59.12
2014 07  0.185,269.49, 79.02, 26.68, 52.85
2014 08  0.212,272.66, 78.12, 16.08, 47.10
2014 09  0.239,275.62, 81.45,  8.44, 44.95
2014 10  0.267,278.48, 85.78,  4.37, 45.08
2014 11  0.291,280.91, 87.05,  2.80, 44.93
2014 12  0.312,282.92, 87.81,  4.74, 46.28
2014 13  0.332,284.49, 87.21,  7.26, 47.24
2014 14  0.356,286.19, 87.35,  9.64, 48.49
2014 15  0.385,287.87, 86.32, 13.00, 49.66
2014 16  0.422,289.63, 84.95, 15.62, 50.29
2014 17  0.467,291.27, 84.26, 20.72, 52.49
2014 18  0.508,292.71, 82.24, 26.86, 54.55
2014 19  0.547,294.08, 80.31, 28.39, 54.35
2014 20  0.577,294.75, 77.74, 32.20, 54.97
2014 21  0.600,294.70, 76.06, 39.54, 57.80
2014 22  0.623,294.79, 74.76, 43.71, 59.24
2014 23  0.647,295.03, 77.95, 43.97, 60.96
2014 24  0.660,294.91, 79.02, 47.19, 63.10
2014 25  0.668,294.75, 79.70, 50.44, 65.07
2014 26  0.671,294.79, 79.33, 51.15, 65.24
2014 27  0.672,295.16, 79.36, 50.22, 64.79
2014 28  0.668,295.42, 78.68, 51.72, 65.20
2014 29  0.663,295.79, 78.91, 52.28, 65.60
2014 30  0.655,296.17, 79.17, 51.33, 65.25
2014 31  0.640,296.34, 77.32, 48.80, 63.06
2014 32  0.622,296.28, 74.52, 45.62, 60.07
2014 33  0.601,295.88, 70.67, 40.95, 55.81
2014 34  0.577,295.30, 66.64, 32.42, 49.53
