Mean data for UKR  Province= 22: Ternopil',  from 1981 to 2018<br>The data below were extracted from weekly files like: ../NPP_VH/4km/ts_L1_v1/ByWeek/VHP_L1_Mean_201301.txt<br><tt><pre>year,week,, provinceID, SMN,SMT,VCI,TCI,VHI
2013 01  0.092,259.54, 27.68, 83.75, 55.71
2013 02  0.090,259.54, 29.62, 85.56, 57.59
2013 03  0.088,259.22, 32.43, 88.70, 60.56
2013 04  0.084,258.56, 31.17, 90.99, 61.08
2013 05  0.081,258.27, 27.34, 91.11, 59.23
2013 06  0.079,258.30, 23.68, 88.97, 56.33
2013 07  0.076,258.18, 21.28, 85.91, 53.59
2013 08  0.075,258.05, 20.88, 86.01, 53.45
2013 09  0.078,258.02, 22.22, 88.68, 55.45
2013 10  0.084,258.16, 23.09, 90.60, 56.85
2013 11  0.094,258.86, 22.85, 93.35, 58.10
2013 12  0.110,260.59, 23.01, 95.26, 59.14
2013 13  0.136,264.23, 22.90, 95.09, 59.00
2013 14  0.172,269.47, 23.68, 94.18, 58.93
2013 15  0.225,275.54, 27.80, 91.18, 59.49
2013 16  0.301,282.16, 38.84, 81.91, 60.38
2013 17  0.372,287.01, 47.15, 63.74, 55.45
2013 18  0.429,290.41, 51.89, 47.00, 49.45
2013 19  0.475,292.16, 52.76, 44.12, 48.44
2013 20  0.513,293.06, 53.53, 44.85, 49.19
2013 21  0.549,293.65, 55.94, 42.99, 49.46
2013 22  0.581,293.89, 58.64, 45.41, 52.03
2013 23  0.613,294.02, 65.81, 44.07, 54.94
2013 24  0.633,294.01, 71.27, 42.87, 57.07
2013 25  0.647,294.31, 75.61, 37.75, 56.68
2013 26  0.654,294.49, 77.08, 34.14, 55.61
2013 27  0.652,294.36, 75.21, 35.81, 55.51
2013 28  0.644,294.08, 73.25, 42.64, 57.94
2013 29  0.642,294.48, 76.29, 42.00, 59.14
2013 30  0.637,294.74, 77.95, 42.07, 60.01
2013 31  0.619,294.47, 74.88, 48.09, 61.49
2013 32  0.605,294.36, 72.59, 49.57, 61.08
2013 33  0.585,293.76, 68.34, 53.93, 61.13
2013 34  0.555,292.69, 60.68, 61.37, 61.02
2013 35  0.519,290.85, 52.29, 73.12, 62.70
2013 36  0.477,288.54, 45.25, 79.28, 62.26
2013 37  0.440,286.60, 40.50, 78.45, 59.48
2013 38  0.413,285.37, 35.38, 79.05, 57.22
2013 39  0.389,284.61, 29.48, 78.61, 54.05
2013 40  0.370,284.09, 26.28, 77.60, 51.94
2013 41  0.353,283.72, 26.86, 65.79, 46.33
2013 42  0.341,283.54, 32.52, 41.28, 36.90
2013 43  0.318,282.50, 37.17, 28.22, 32.69
