Mean data for UKR  Province= 8: Kharkiv,  from 1981 to 2018<br>The data below were extracted from weekly files like: ../NPP_VH/4km/ts_L1_v1/ByWeek/VHP_L1_Mean_201301.txt<br><tt><pre>year,week,, provinceID, SMN,SMT,VCI,TCI,VHI
2013 01  0.113,261.84, 55.93, 59.74, 57.84
2013 02  0.106,261.55, 53.83, 59.87, 56.85
2013 03  0.102,261.42, 52.90, 60.89, 56.90
2013 04  0.106,262.03, 55.97, 63.09, 59.53
2013 05  0.113,263.34, 55.71, 59.10, 57.40
2013 06  0.125,265.24, 55.67, 48.78, 52.22
2013 07  0.142,267.36, 55.93, 39.56, 47.74
2013 08  0.161,269.37, 57.58, 33.85, 45.72
2013 09  0.179,271.55, 59.84, 30.12, 44.98
2013 10  0.195,273.64, 61.06, 29.67, 45.37
2013 11  0.210,275.81, 60.72, 31.77, 46.24
2013 12  0.229,278.24, 62.03, 33.45, 47.74
2013 13  0.255,280.89, 63.99, 33.49, 48.74
2013 14  0.290,284.27, 67.68, 29.02, 48.35
2013 15  0.338,288.16, 72.66, 21.56, 47.11
2013 16  0.387,291.41, 75.41, 17.00, 46.21
2013 17  0.435,293.83, 76.46, 18.06, 47.26
2013 18  0.481,295.65, 77.69, 22.12, 49.90
2013 19  0.520,296.88, 77.26, 26.03, 51.64
2013 20  0.548,297.50, 75.61, 30.44, 53.02
2013 21  0.570,297.87, 74.59, 33.72, 54.16
2013 22  0.587,298.08, 73.15, 37.05, 55.10
2013 23  0.597,298.02, 72.52, 38.50, 55.51
2013 24  0.600,297.99, 69.84, 40.06, 54.95
2013 25  0.597,298.16, 65.19, 39.60, 52.40
2013 26  0.588,298.20, 59.46, 40.60, 50.03
2013 27  0.574,298.22, 53.73, 42.05, 47.89
2013 28  0.557,298.04, 48.00, 45.60, 46.80
2013 29  0.539,297.56, 41.70, 52.23, 46.97
2013 30  0.526,297.51, 41.05, 54.91, 47.98
2013 31  0.511,297.68, 41.19, 52.90, 47.05
2013 32  0.487,297.19, 36.03, 54.95, 45.49
2013 33  0.460,296.21, 30.13, 59.70, 44.92
2013 34  0.431,294.97, 25.09, 66.46, 45.78
2013 35  0.399,292.65, 20.51, 81.28, 50.89
2013 36  0.368,290.08, 17.77, 89.81, 53.79
2013 37  0.342,287.99, 16.32, 91.32, 53.82
2013 38  0.323,286.29, 17.66, 91.96, 54.81
2013 39  0.313,285.10, 22.88, 88.46, 55.67
2013 40  0.303,283.66, 29.49, 82.09, 55.79
2013 41  0.293,282.45, 35.76, 71.11, 53.44
