Mean data for UKR  Province= 24: Vinnytsya,  from 1981 to 2018<br>The data below were extracted from weekly files like: ../NPP_VH/4km/ts_L1_v1/ByWeek/VHP_L1_Mean_201301.txt<br><tt><pre>year,week,, provinceID, SMN,SMT,VCI,TCI,VHI
2013 01  0.087,259.49, 18.07, 85.40, 51.73
2013 02  0.087,259.79, 20.11, 86.04, 53.08
2013 03  0.087,260.32, 24.20, 87.02, 55.61
2013 04  0.085,260.66, 25.46, 85.34, 55.40
2013 05  0.086,261.05, 26.22, 79.98, 53.10
2013 06  0.088,261.65, 25.61, 75.29, 50.45
2013 07  0.094,262.69, 26.70, 69.16, 47.93
2013 08  0.104,264.21, 30.56, 64.56, 47.56
2013 09  0.118,265.90, 35.31, 64.55, 49.93
2013 10  0.134,267.83, 37.79, 64.93, 51.36
2013 11  0.155,270.43, 38.20, 62.85, 50.53
2013 12  0.180,273.27, 39.94, 64.16, 52.05
2013 13  0.213,276.57, 40.95, 61.83, 51.39
2013 14  0.253,280.65, 43.21, 57.64, 50.42
2013 15  0.304,285.07, 48.97, 50.01, 49.49
2013 16  0.360,289.17, 54.26, 36.59, 45.42
2013 17  0.421,292.38, 59.49, 25.03, 42.26
2013 18  0.474,294.15, 62.98, 20.90, 41.93
2013 19  0.516,295.01, 63.44, 23.85, 43.64
2013 20  0.552,295.31, 63.72, 29.63, 46.67
2013 21  0.585,295.38, 64.86, 34.22, 49.54
2013 22  0.612,295.35, 65.43, 37.97, 51.70
2013 23  0.635,295.27, 69.78, 40.86, 55.32
2013 24  0.652,295.25, 75.76, 43.36, 59.56
2013 25  0.661,295.42, 79.34, 42.94, 61.14
2013 26  0.662,295.49, 78.54, 43.09, 60.82
2013 27  0.658,295.43, 77.34, 46.74, 62.04
2013 28  0.647,295.18, 75.22, 51.59, 63.41
2013 29  0.638,295.22, 74.59, 52.57, 63.58
2013 30  0.626,295.18, 72.90, 53.28, 63.09
2013 31  0.607,294.92, 69.11, 54.63, 61.87
2013 32  0.588,294.92, 65.53, 52.60, 59.06
2013 33  0.562,294.13, 58.11, 58.16, 58.13
2013 34  0.528,292.57, 48.41, 69.50, 58.95
2013 35  0.490,290.25, 39.20, 82.96, 61.08
2013 36  0.452,287.90, 34.04, 86.88, 60.46
2013 37  0.418,285.76, 31.66, 88.60, 60.13
2013 38  0.391,284.23, 29.58, 89.23, 59.40
2013 39  0.370,283.33, 27.35, 87.82, 57.59
2013 40  0.355,283.06, 27.67, 87.18, 57.43
2013 41  0.345,283.00, 30.99, 78.52, 54.76
2013 42  0.340,282.90, 38.28, 59.72, 49.01
2013 43  0.322,282.13, 41.94, 42.08, 42.01
2013 44  0.306,281.30, 45.76, 21.63, 33.69
2013 45  0.299,280.52, 55.94,  9.90, 32.92
2013 46  0.283,278.42, 60.09, 12.59, 36.34
2013 47  0.264,276.28, 66.30, 16.85, 41.57
2013 48  0.246,274.59, 70.78, 20.49, 45.64
2013 49  0.231,273.26, 74.46, 22.00, 48.23
2013 50  0.220,272.22, 77.67, 21.03, 49.35
2013 51  0.204,270.88, 75.79, 21.85, 48.82
2013 52  0.186,269.73, 70.75, 25.73, 48.24
2014 01  0.170,268.70, 61.87, 33.74, 47.80
2014 02  0.155,267.17, 53.25, 47.66, 50.45
2014 03  0.139,265.80, 47.55, 58.88, 53.22
2014 04  0.130,265.53, 44.02, 61.84, 52.93
2014 05  0.129,266.36, 42.52, 57.20, 49.86
2014 06  0.137,268.32, 42.80, 49.10, 45.95
2014 07  0.153,270.94, 46.93, 38.29, 42.61
2014 08  0.182,274.48, 56.53, 26.12, 41.32
2014 09  0.221,278.09, 68.81, 17.70, 43.25
2014 10  0.263,281.14, 80.37, 13.09, 46.73
2014 11  0.297,283.85, 83.12,  7.82, 45.47
2014 12  0.327,285.94, 85.33, 10.08, 47.70
2014 13  0.354,287.44, 84.22, 11.72, 47.97
2014 14  0.385,288.64, 82.32, 13.71, 48.01
2014 15  0.420,289.58, 80.67, 20.78, 50.72
2014 16  0.459,290.39, 79.19, 29.02, 54.11
2014 17  0.501,291.27, 79.01, 34.48, 56.74
2014 18  0.536,292.06, 78.13, 40.03, 59.08
2014 19  0.571,293.01, 77.07, 42.19, 59.63
2014 20  0.596,293.36, 75.36, 47.13, 61.25
2014 21  0.615,293.32, 73.86, 53.25, 63.55
2014 22  0.633,293.58, 72.34, 54.58, 63.46
2014 23  0.653,294.17, 76.84, 51.19, 64.02
2014 24  0.665,294.49, 81.83, 50.71, 66.27
2014 25  0.669,294.65, 83.21, 50.68, 66.94
2014 26  0.667,294.65, 80.68, 51.52, 66.10
2014 27  0.663,294.86, 79.39, 51.98, 65.68
2014 28  0.656,295.12, 78.54, 51.63, 65.09
2014 29  0.647,295.44, 77.46, 49.92, 63.69
2014 30  0.636,295.77, 76.24, 46.92, 61.58
2014 31  0.623,295.87, 74.52, 44.98, 59.75
2014 32  0.610,295.80, 73.06, 43.83, 58.45
2014 33  0.593,295.56, 69.89, 44.06, 56.98
2014 34  0.574,295.37, 67.13, 40.93, 54.03
2014 35  0.553,294.94, 65.72, 35.78, 50.75
2014 36  0.529,294.17, 65.48, 31.31, 48.39
2014 37  0.506,293.33, 66.36, 27.67, 47.01
2014 38  0.482,292.26, 63.49, 25.90, 44.70
2014 39  0.451,290.41, 56.74, 29.48, 43.11
2014 40  0.418,288.24, 49.78, 37.95, 43.86
2014 41  0.387,286.21, 45.71, 45.08, 45.40
2014 42  0.353,284.35, 43.05, 44.25, 43.66
2014 43  0.318,282.49, 40.67, 38.92, 39.79
2014 44  0.282,280.12, 37.76, 34.98, 36.37
2014 45  0.246,277.34, 37.33, 39.74, 38.54
2014 46  0.215,274.79, 35.25, 43.60, 39.42
2014 47  0.192,273.12, 37.81, 42.48, 40.14
2014 48  0.174,271.48, 42.44, 44.50, 43.47
2014 49  0.159,269.78, 44.83, 48.55, 46.69
2014 50  0.153,268.93, 49.50, 44.87, 47.18
2014 51  0.151,268.30, 53.34, 39.88, 46.61
2014 52  0.143,267.44, 52.02, 40.24, 46.13
2015 01  0.136,266.26, 46.72, 47.72, 47.22
2015 02  0.135,266.01, 45.49, 54.13, 49.81
2015 03  0.138,266.83, 47.63, 53.80, 50.72
2015 04  0.142,268.10, 48.64, 49.14, 48.89
2015 05  0.148,269.39, 48.99, 43.89, 46.44
2015 06  0.157,270.91, 49.64, 38.72, 44.18
2015 07  0.172,272.95, 53.34, 30.67, 42.01
2015 08  0.192,275.70, 60.28, 21.76, 41.02
2015 09  0.212,278.16, 66.88, 17.83, 42.36
2015 10  0.231,280.53, 71.72, 15.84, 43.78
2015 11  0.253,282.84, 71.08, 12.26, 41.67
2015 12  0.274,284.71, 70.89, 15.55, 43.22
2015 13  0.296,286.48, 68.26, 16.32, 42.29
2015 14  0.319,287.96, 64.28, 17.65, 40.96
2015 15  0.350,289.70, 62.44, 20.00, 41.22
2015 16  0.387,291.32, 61.35, 22.29, 41.82
2015 17  0.431,292.81, 61.97, 22.44, 42.21
2015 18  0.477,293.89, 63.56, 23.84, 43.70
2015 19  0.522,294.77, 64.87, 26.30, 45.59
2015 20  0.562,295.69, 66.15, 26.45, 46.30
2015 21  0.594,296.65, 67.23, 23.06, 45.14
2015 22  0.616,297.18, 66.50, 22.01, 44.25
2015 23  0.633,297.56, 69.03, 20.89, 44.96
2015 24  0.641,297.50, 71.12, 23.15, 47.13
2015 25  0.641,297.47, 70.20, 23.85, 47.03
2015 26  0.635,297.48, 65.99, 24.35, 45.17
2015 27  0.623,297.65, 62.30, 25.58, 43.94
2015 28  0.610,298.21, 60.68, 21.64, 41.16
2015 29  0.595,298.76, 58.74, 16.88, 37.81
2015 30  0.579,299.29, 56.52, 11.73, 34.13
2015 31  0.563,299.70, 53.74,  7.08, 30.41
2015 32  0.539,299.74, 47.82,  5.35, 26.59
2015 33  0.515,299.53, 40.43,  4.41, 22.42
2015 34  0.491,298.79, 34.16,  5.72, 19.94
2015 35  0.467,297.54, 30.65,  9.26, 19.95
2015 36  0.448,296.26, 32.77, 12.38, 22.57
2015 37  0.432,294.65, 36.46, 16.79, 26.62
2015 38  0.415,293.06, 37.43, 19.55, 28.49
2015 39  0.397,291.24, 36.39, 22.79, 29.59
2015 40  0.379,289.33, 35.39, 28.22, 31.79
2015 41  0.357,287.29, 34.96, 34.45, 34.70
2015 42  0.332,285.19, 35.56, 34.81, 35.18
2015 43  0.308,283.37, 37.57, 28.78, 33.17
2015 44  0.282,281.71, 38.44, 17.29, 27.87
2015 45  0.251,279.74, 39.06, 17.79, 28.43
2015 46  0.226,277.42, 38.71, 22.53, 30.62
2015 47  0.210,275.48, 44.16, 24.98, 34.57
2015 48  0.200,273.78, 52.05, 27.45, 39.75
2015 49  0.197,272.51, 60.97, 27.54, 44.26
2015 50  0.195,271.60, 67.57, 25.69, 46.63
2015 51  0.186,270.57, 69.32, 24.37, 46.84
2015 52  0.176,269.25, 67.45, 28.91, 48.18
2016 01  0.163,268.01, 60.14, 37.72, 48.93
2016 02  0.148,266.85, 51.65, 49.81, 50.73
2016 03  0.142,266.86, 49.50, 53.95, 51.73
2016 04  0.143,267.76, 49.33, 51.19, 50.26
2016 05  0.151,269.26, 50.28, 44.84, 47.56
2016 06  0.162,271.17, 51.57, 38.02, 44.79
2016 07  0.176,273.15, 54.69, 29.96, 42.32
2016 08  0.188,274.89, 58.91, 24.73, 41.82
2016 09  0.196,276.14, 61.61, 25.39, 43.50
2016 10  0.202,277.04, 61.68, 29.42, 45.55
2016 11  0.269,282.09, 75.62, 15.45, 45.54
2016 12  0.295,284.30, 77.02, 17.36, 47.19
2016 13  0.325,286.43, 76.64, 16.69, 46.67
2016 14  0.360,288.39, 75.88, 15.43, 45.66
2016 15  0.400,290.08, 75.85, 17.85, 46.85
2016 16  0.443,291.15, 75.20, 24.15, 49.68
2016 17  0.481,291.64, 74.10, 32.18, 53.14
2016 18  0.511,291.63, 71.69, 44.15, 57.92
2016 19  0.540,291.96, 69.00, 51.98, 60.49
2016 20  0.565,292.28, 66.65, 56.84, 61.74
2016 21  0.588,292.33, 65.09, 61.92, 63.51
2016 22  0.611,292.48, 64.20, 64.39, 64.29
2016 23  0.634,292.92, 68.66, 62.43, 65.54
2016 24  0.651,293.40, 74.89, 60.71, 67.80
2016 25  0.664,293.93, 79.93, 57.60, 68.76
2016 26  0.668,294.14, 80.11, 56.60, 68.35
2016 27  0.669,294.74, 80.54, 53.21, 66.88
2016 28  0.665,295.60, 81.26, 46.85, 64.06
2016 29  0.654,296.12, 79.41, 43.03, 61.22
2016 30  0.639,296.47, 76.53, 39.87, 58.20
2016 31  0.621,296.84, 73.39, 35.20, 54.29
2016 32  0.601,297.06, 69.53, 31.37, 50.45
2016 33  0.578,297.16, 64.26, 27.71, 45.98
2016 34  0.552,297.12, 57.98, 22.47, 40.22
2016 35  0.525,296.78, 53.64, 16.67, 35.15
2016 36  0.496,296.15, 51.51, 13.27, 32.39
2016 37  0.460,294.74, 47.10, 16.08, 31.59
2016 38  0.425,292.74, 41.21, 22.07, 31.64
2016 39  0.386,289.75, 31.92, 35.06, 33.49
