Mean data for UKR  Province= 9: Kherson,  from 1981 to 2018<br>The data below were extracted from weekly files like: ../NPP_VH/4km/ts_L1_v1/ByWeek/VHP_L1_Mean_201301.txt<br><tt><pre>year,week,, provinceID, SMN,SMT,VCI,TCI,VHI
2013 01  0.159,269.97, 40.78, 39.41, 40.10
2013 02  0.154,270.18, 41.30, 36.82, 39.06
2013 03  0.152,270.72, 40.98, 32.47, 36.72
2013 04  0.157,271.61, 42.33, 28.45, 35.39
2013 05  0.167,272.88, 45.37, 23.45, 34.41
2013 06  0.183,274.74, 50.14, 18.97, 34.56
2013 07  0.208,277.35, 55.95, 13.82, 34.89
2013 08  0.230,279.30, 59.38, 12.87, 36.13
2013 09  0.251,280.92, 62.18, 13.47, 37.82
2013 10  0.272,282.80, 63.74, 13.93, 38.83
2013 11  0.288,284.15, 62.66, 17.03, 39.84
2013 12  0.304,285.77, 62.88, 18.78, 40.83
2013 13  0.318,287.16, 61.90, 22.81, 42.35
2013 14  0.339,289.04, 61.48, 24.58, 43.03
2013 15  0.370,291.94, 62.78, 20.84, 41.81
2013 16  0.403,294.56, 63.64, 17.45, 40.55
2013 17  0.433,296.85, 63.45, 16.41, 39.93
2013 18  0.452,298.61, 61.82, 15.37, 38.60
2013 19  0.459,299.83, 57.17, 15.62, 36.40
2013 20  0.462,300.82, 52.44, 14.97, 33.72
2013 21  0.459,300.87, 48.28, 23.12, 35.70
2013 22  0.454,301.03, 44.85, 29.67, 37.26
2013 23  0.451,301.62, 44.71, 28.78, 36.74
2013 24  0.447,302.09, 44.92, 29.12, 37.03
2013 25  0.444,302.42, 45.28, 32.61, 38.96
2013 26  0.439,302.61, 45.29, 36.30, 40.80
2013 27  0.434,302.99, 45.81, 36.98, 41.40
2013 28  0.427,303.32, 45.75, 35.91, 40.83
2013 29  0.417,303.37, 45.08, 35.56, 40.32
2013 30  0.406,303.61, 44.63, 32.65, 38.63
2013 31  0.393,303.66, 43.75, 29.95, 36.85
2013 32  0.377,303.37, 41.49, 28.27, 34.88
2013 33  0.361,302.26, 37.75, 33.02, 35.38
2013 34  0.347,300.66, 34.19, 41.46, 37.81
2013 35  0.334,298.76, 30.79, 50.69, 40.73
2013 36  0.319,296.55, 27.56, 58.16, 42.86
2013 37  0.307,294.55, 26.09, 64.51, 45.31
2013 38  0.298,292.69, 26.57, 70.63, 48.61
2013 39  0.290,291.07, 28.85, 72.30, 50.58
2013 40  0.283,289.67, 32.22, 68.55, 50.37
2013 41  0.280,288.40, 37.09, 60.18, 48.64
2013 42  0.282,287.32, 41.56, 48.06, 44.82
2013 43  0.284,286.31, 44.87, 33.61, 39.26
2013 44  0.286,285.14, 47.43, 17.60, 32.53
2013 45  0.290,283.80, 52.64,  9.43, 31.03
2013 46  0.292,281.69, 56.20, 11.57, 33.87
2013 47  0.298,280.03, 61.81, 12.20, 36.99
2013 48  0.302,278.81, 68.00, 11.81, 39.89
2013 49  0.299,277.60, 72.17, 10.80, 41.48
2013 50  0.294,276.94, 75.20,  8.07, 41.63
2013 51  0.287,276.77, 76.42,  5.63, 41.02
2013 52  0.277,276.64, 75.91,  4.68, 40.29
2014 01  0.262,276.38, 74.74,  4.52, 39.63
2014 02  0.244,275.78, 70.29,  5.56, 37.92
2014 03  0.218,274.82, 61.64, 10.34, 35.99
2014 04  0.192,273.93, 53.70, 16.45, 35.07
2014 05  0.182,273.86, 50.66, 18.49, 34.58
2014 06  0.187,274.68, 52.26, 18.79, 35.53
2014 07  0.208,276.56, 56.76, 16.71, 36.73
2014 08  0.243,279.30, 63.38, 12.79, 38.08
2014 09  0.279,282.08, 69.80,  8.99, 39.40
2014 10  0.313,284.30, 73.79,  8.04, 40.92
2014 11  0.342,286.56, 75.45,  6.42, 40.94
2014 12  0.368,288.70, 77.39,  5.24, 41.31
2014 13  0.391,290.53, 77.71,  6.90, 42.31
2014 14  0.411,292.04, 76.77,  9.75, 43.26
2014 15  0.428,293.17, 75.03, 14.31, 44.67
2014 16  0.445,294.17, 72.31, 20.38, 46.35
2014 17  0.458,295.05, 69.10, 30.20, 49.65
2014 18  0.469,295.82, 65.80, 38.14, 51.97
2014 19  0.478,296.69, 62.01, 44.22, 53.13
2014 20  0.481,297.17, 57.47, 49.35, 53.41
2014 21  0.481,297.96, 54.99, 49.51, 52.24
2014 22  0.477,298.58, 52.46, 50.58, 51.51
2014 23  0.473,299.25, 52.61, 48.47, 50.53
2014 24  0.468,299.86, 52.52, 47.84, 50.17
2014 25  0.461,300.59, 51.54, 48.01, 49.78
2014 26  0.452,301.28, 49.93, 47.03, 48.49
2014 27  0.442,302.09, 48.47, 43.95, 46.22
2014 28  0.427,302.94, 46.29, 38.79, 42.54
2014 29  0.412,303.85, 44.04, 32.33, 38.18
2014 30  0.397,304.73, 42.50, 25.00, 33.74
2014 31  0.383,304.97, 41.02, 20.85, 30.93
2014 32  0.372,304.83, 40.00, 17.98, 28.98
2014 33  0.362,304.26, 38.44, 18.43, 28.43
2014 34  0.352,303.41, 36.32, 20.16, 28.22
2014 35  0.343,302.40, 34.25, 20.29, 27.26
2014 36  0.335,301.01, 33.10, 19.40, 26.24
2014 37  0.326,299.59, 32.67, 20.45, 26.56
2014 38  0.318,298.11, 33.58, 22.82, 28.20
2014 39  0.312,296.17, 36.29, 27.07, 31.67
2014 40  0.309,293.94, 40.49, 32.09, 36.29
2014 41  0.305,291.50, 44.35, 34.29, 39.31
2014 42  0.299,289.02, 45.85, 33.46, 39.64
2014 43  0.292,287.00, 46.90, 28.16, 37.55
2014 44  0.283,284.92, 46.92, 19.39, 33.17
2014 45  0.273,282.83, 48.49, 16.43, 32.46
2014 46  0.255,280.50, 47.27, 19.54, 33.39
2014 47  0.235,277.83, 46.07, 25.59, 35.83
2014 48  0.213,275.98, 44.56, 27.69, 36.12
2014 49  0.196,274.31, 43.68, 28.86, 36.26
2014 50  0.185,273.26, 43.32, 27.78, 35.55
2014 51  0.176,272.66, 42.68, 27.05, 34.87
2014 52  0.167,271.94, 41.24, 29.29, 35.27
2015 01  0.162,271.61, 42.58, 30.67, 36.64
2015 02  0.160,271.57, 43.82, 29.03, 36.42
2015 03  0.167,272.23, 46.06, 24.16, 35.10
2015 04  0.185,273.73, 51.73, 18.23, 34.98
2015 05  0.213,275.48, 59.57, 12.29, 35.93
2015 06  0.236,276.79, 66.52, 10.68, 38.60
2015 07  0.251,278.02, 69.15, 11.35, 40.25
2015 08  0.270,280.46, 71.14,  8.79, 39.97
2015 09  0.286,282.83, 72.37,  6.41, 39.39
2015 10  0.299,284.55, 71.30,  7.30, 39.30
2015 11  0.313,286.03, 69.45,  8.96, 39.20
2015 12  0.326,287.01, 68.66, 13.21, 40.94
2015 13  0.343,287.91, 67.96, 19.64, 43.80
2015 14  0.365,289.16, 67.68, 24.65, 46.16
2015 15  0.389,290.59, 67.39, 29.14, 48.26
2015 16  0.419,292.32, 67.28, 32.74, 50.01
2015 17  0.449,294.09, 67.38, 37.88, 52.63
2015 18  0.475,295.50, 67.30, 41.24, 54.26
2015 19  0.489,295.60, 64.83, 54.68, 59.73
2015 20  0.503,296.24, 63.35, 58.53, 60.92
2015 21  0.521,297.96, 66.32, 50.05, 58.18
2015 22  0.527,298.64, 67.69, 50.32, 59.01
2015 23  0.524,298.96, 68.39, 50.79, 59.59
2015 24  0.515,299.02, 67.33, 54.51, 60.92
2015 25  0.503,298.97, 64.76, 61.02, 62.89
2015 26  0.497,298.86, 63.55, 65.56, 64.55
2015 27  0.495,299.01, 64.04, 66.25, 65.14
2015 28  0.493,299.49, 64.83, 62.56, 63.70
2015 29  0.490,300.19, 66.23, 57.13, 61.68
2015 30  0.482,300.83, 67.25, 51.10, 59.17
2015 31  0.468,301.20, 67.12, 45.96, 56.55
2015 32  0.448,301.22, 64.31, 42.51, 53.41
2015 33  0.430,301.41, 60.70, 38.55, 49.62
2015 34  0.415,301.57, 57.06, 34.01, 45.52
2015 35  0.396,301.20, 51.83, 30.25, 41.03
2015 36  0.377,300.87, 46.95, 20.89, 33.92
2015 37  0.357,300.09, 42.96, 16.51, 29.74
2015 38  0.338,298.98, 40.29, 15.56, 27.94
2015 39  0.320,297.40, 38.96, 16.68, 27.83
2015 40  0.305,295.24, 39.27, 21.78, 30.52
2015 41  0.289,292.66, 39.79, 25.27, 32.53
2015 42  0.274,290.50, 39.39, 21.68, 30.53
2015 43  0.258,288.18, 38.59, 19.40, 29.01
2015 44  0.243,286.05, 37.22, 11.70, 24.48
2015 45  0.228,284.15, 36.89,  7.94, 22.41
2015 46  0.214,281.93, 36.15, 10.99, 23.56
2015 47  0.205,280.00, 37.47, 13.12, 25.29
2015 48  0.202,278.72, 40.79, 12.64, 26.70
2015 49  0.199,277.44, 43.83, 11.72, 27.78
2015 50  0.198,276.48, 46.89, 10.39, 28.64
2015 51  0.197,275.83, 49.36, 10.31, 29.83
2015 52  0.196,275.26, 51.37, 11.58, 31.47
