Mean data for UKR  Province= 1: Cherkasy,  from 1981 to 2018<br>The data below were extracted from weekly files like: ../NPP_VH/4km/ts_L1_v1/ByWeek/VHP_L1_Mean_201301.txt<br><tt><pre>year,week,, provinceID, SMN,SMT,VCI,TCI,VHI
2013 01  0.106,262.32, 32.71, 60.45, 46.58
2013 02  0.106,262.81, 35.65, 60.86, 48.26
2013 03  0.107,263.39, 38.74, 65.51, 52.12
2013 04  0.110,264.01, 42.16, 65.50, 53.83
2013 05  0.117,264.99, 44.79, 58.10, 51.45
2013 06  0.129,266.38, 46.89, 51.12, 49.01
2013 07  0.152,268.62, 52.43, 43.14, 47.78
2013 08  0.181,271.15, 60.58, 34.74, 47.61
2013 09  0.206,273.44, 65.49, 30.34, 47.86
2013 10  0.226,275.49, 66.31, 29.52, 47.84
2013 11  0.245,277.62, 64.95, 30.89, 47.85
2013 12  0.265,279.98, 64.85, 30.27, 47.51
2013 13  0.286,282.33, 64.80, 30.69, 47.70
2013 14  0.312,285.02, 64.02, 28.38, 46.17
2013 15  0.347,287.79, 63.35, 27.06, 45.20
2013 16  0.388,290.65, 63.48, 23.52, 43.50
2013 17  0.436,293.17, 65.82, 19.86, 42.84
2013 18  0.481,294.66, 67.80, 22.31, 45.05
2013 19  0.518,295.51, 66.66, 27.90, 47.27
2013 20  0.552,296.02, 65.77, 31.74, 48.75
2013 21  0.583,296.17, 66.47, 35.37, 50.93
2013 22  0.608,296.18, 67.53, 38.62, 53.07
2013 23  0.631,296.30, 71.92, 39.08, 55.51
2013 24  0.648,296.52, 76.85, 38.70, 57.79
2013 25  0.655,296.76, 78.54, 36.96, 57.76
2013 26  0.655,296.80, 76.89, 36.64, 56.76
2013 27  0.650,296.75, 75.11, 38.77, 56.94
2013 28  0.642,296.74, 73.95, 41.70, 57.82
2013 29  0.632,296.76, 72.96, 43.98, 58.45
2013 30  0.619,296.87, 71.96, 44.83, 58.38
2013 31  0.598,296.77, 68.47, 44.48, 56.46
2013 32  0.571,296.45, 63.17, 43.53, 53.33
2013 33  0.541,295.72, 56.37, 44.78, 50.56
2013 34  0.504,294.30, 46.02, 52.63, 49.31
2013 35  0.459,292.07, 33.57, 68.59, 51.07
2013 36  0.415,289.86, 23.49, 81.83, 52.65
2013 37  0.381,288.03, 20.19, 86.55, 53.37
2013 38  0.358,286.72, 20.07, 86.91, 53.49
2013 39  0.341,285.71, 20.45, 83.49, 51.97
2013 40  0.324,284.90, 21.40, 79.61, 50.51
2013 41  0.311,284.33, 25.10, 67.39, 46.24
2013 42  0.301,283.76, 31.45, 47.28, 39.37
2013 43  0.286,282.74, 36.23, 32.44, 34.32
2013 44  0.270,281.43, 40.63, 19.45, 30.00
2013 45  0.262,280.14, 50.89,  9.70, 30.23
2013 46  0.253,278.26, 58.68, 10.24, 34.40
2013 47  0.241,276.22, 64.20, 15.50, 39.82
2013 48  0.222,274.27, 63.94, 24.09, 44.01
2013 49  0.202,272.63, 58.87, 29.00, 43.93
2013 50  0.190,271.68, 58.74, 28.00, 43.37
2013 51  0.178,270.46, 56.69, 28.29, 42.49
2013 52  0.166,269.35, 54.90, 30.54, 42.72
2014 01  0.154,268.14, 53.96, 32.79, 43.38
2014 02  0.147,266.88, 53.65, 40.84, 47.24
2014 03  0.142,265.90, 53.76, 52.23, 53.00
2014 04  0.143,265.93, 56.10, 54.98, 55.53
2014 05  0.149,266.93, 57.90, 48.13, 53.01
2014 06  0.160,269.07, 58.91, 38.67, 48.79
2014 07  0.177,271.71, 62.02, 29.89, 45.96
2014 08  0.203,275.02, 68.84, 19.47, 44.11
2014 09  0.233,278.32, 75.14, 12.14, 43.59
2014 10  0.265,281.23, 79.33,  7.85, 43.51
2014 11  0.292,284.06, 79.86,  4.11, 41.91
2014 12  0.316,286.35, 80.43,  4.69, 42.51
2014 13  0.338,288.04, 80.32,  6.52, 43.38
2014 14  0.363,289.45, 78.97,  7.40, 43.16
2014 15  0.392,290.59, 76.54, 11.16, 43.84
2014 16  0.426,291.57, 74.30, 17.68, 45.99
2014 17  0.464,292.48, 73.87, 25.92, 49.90
2014 18  0.498,293.22, 72.85, 36.27, 54.56
2014 19  0.532,294.12, 71.20, 42.96, 57.08
2014 20  0.561,294.41, 68.72, 48.93, 58.85
2014 21  0.585,294.32, 67.69, 54.77, 61.26
2014 22  0.610,294.49, 68.62, 55.63, 62.14
2014 23  0.638,294.98, 75.57, 52.12, 63.86
2014 24  0.655,295.25, 81.16, 51.21, 66.18
2014 25  0.666,295.35, 83.69, 51.21, 67.44
2014 26  0.667,295.30, 82.12, 51.91, 67.01
2014 27  0.665,295.66, 80.54, 49.89, 65.21
2014 28  0.659,296.12, 79.51, 47.75, 63.62
2014 29  0.649,296.66, 78.36, 44.89, 61.60
2014 30  0.635,297.24, 76.96, 41.38, 59.15
2014 31  0.615,297.54, 73.94, 37.25, 55.58
2014 32  0.593,297.58, 70.31, 33.16, 51.72
2014 33  0.567,297.22, 64.81, 30.68, 47.72
2014 34  0.539,296.77, 58.39, 27.71, 43.02
2014 35  0.514,296.07, 53.69, 25.57, 39.60
2014 36  0.491,295.05, 51.98, 24.84, 38.39
2014 37  0.469,294.03, 53.33, 22.18, 37.75
2014 38  0.447,292.82, 53.75, 21.44, 37.59
2014 39  0.421,291.00, 52.13, 25.75, 38.94
2014 40  0.394,288.95, 50.82, 32.65, 41.73
2014 41  0.369,286.83, 50.74, 38.22, 44.48
2014 42  0.341,284.81, 49.26, 35.79, 42.53
2014 43  0.315,283.01, 49.41, 30.31, 39.86
