Mean data for UKR  Province= 3: Chernivtsi,  from 1981 to 2018<br>The data below were extracted from weekly files like: ../NPP_VH/4km/ts_L1_v1/ByWeek/VHP_L1_Mean_201301.txt<br><tt><pre>year,week,, provinceID, SMN,SMT,VCI,TCI,VHI
2013 01  0.131,262.68, 35.86, 71.48, 53.67
2013 02  0.128,262.78, 33.03, 74.36, 53.70
2013 03  0.126,262.99, 31.48, 77.09, 54.29
2013 04  0.122,262.95, 29.07, 79.47, 54.27
2013 05  0.120,262.98, 27.21, 79.36, 53.28
2013 06  0.120,263.47, 25.66, 76.59, 51.13
2013 07  0.121,263.98, 22.94, 75.97, 49.46
2013 08  0.124,264.98, 23.13, 75.34, 49.23
2013 09  0.134,266.84, 25.29, 73.37, 49.33
2013 10  0.147,268.90, 26.72, 70.24, 48.48
2013 11  0.165,271.20, 27.37, 67.48, 47.42
2013 12  0.186,273.40, 28.75, 67.85, 48.30
2013 13  0.216,276.09, 31.35, 65.84, 48.60
2013 14  0.257,279.43, 37.13, 61.74, 49.43
2013 15  0.312,283.24, 45.88, 53.39, 49.64
2013 16  0.382,287.55, 55.65, 37.93, 46.79
2013 17  0.450,290.69, 63.87, 26.48, 45.18
2013 18  0.506,292.79, 68.82, 19.26, 44.04
2013 19  0.546,293.79, 68.67, 19.99, 44.33
2013 20  0.577,293.73, 67.72, 27.67, 47.69
2013 21  0.606,293.92, 68.66, 30.44, 49.55
2013 22  0.631,294.19, 69.41, 32.14, 50.77
2013 23  0.652,294.29, 72.62, 32.96, 52.79
2013 24  0.665,294.30, 75.13, 32.80, 53.96
2013 25  0.674,294.48, 77.02, 30.72, 53.87
2013 26  0.679,294.63, 77.16, 29.69, 53.42
2013 27  0.679,294.49, 75.68, 34.69, 55.18
2013 28  0.676,294.29, 75.00, 43.52, 59.26
2013 29  0.678,294.59, 77.78, 43.25, 60.52
2013 30  0.677,294.87, 80.33, 39.30, 59.81
2013 31  0.665,294.76, 76.92, 41.06, 58.99
2013 32  0.652,294.46, 73.33, 44.94, 59.13
2013 33  0.637,293.76, 68.80, 51.05, 59.93
2013 34  0.618,292.79, 62.51, 57.74, 60.13
2013 35  0.595,291.19, 57.56, 67.98, 62.77
2013 36  0.570,289.42, 54.44, 73.49, 63.97
2013 37  0.547,287.95, 53.41, 73.12, 63.26
