Mean data for UKR  Province= 2: Chernihiv,  from 1981 to 2018<br>The data below were extracted from weekly files like: ../NPP_VH/4km/ts_L1_v1/ByWeek/VHP_L1_Mean_201301.txt<br><tt><pre>year,week,, provinceID, SMN,SMT,VCI,TCI,VHI
2013 01  0.125,260.44, 24.77, 66.49, 45.63
2013 02  0.117,260.24, 19.75, 67.71, 43.73
2013 03  0.109,260.11, 15.42, 70.42, 42.92
2013 04  0.105,260.23, 16.75, 73.18, 44.96
2013 05  0.104,260.77, 21.28, 70.80, 46.04
2013 06  0.105,261.46, 22.79, 68.81, 45.80
2013 07  0.109,262.69, 23.40, 68.04, 45.72
2013 08  0.118,264.38, 25.30, 65.01, 45.15
2013 09  0.127,265.81, 27.49, 62.40, 44.95
2013 10  0.137,267.07, 28.21, 61.06, 44.63
2013 11  0.149,268.20, 28.90, 63.18, 46.04
2013 12  0.164,269.72, 29.79, 65.59, 47.69
2013 13  0.188,272.28, 32.41, 65.69, 49.05
2013 14  0.224,275.97, 36.88, 63.21, 50.04
2013 15  0.275,280.85, 44.03, 56.38, 50.21
2013 16  0.335,285.38, 52.71, 44.83, 48.77
2013 17  0.397,289.00, 59.07, 37.29, 48.18
2013 18  0.458,291.44, 64.76, 32.60, 48.68
2013 19  0.506,292.77, 66.24, 32.00, 49.12
2013 20  0.546,293.93, 67.23, 30.73, 48.98
2013 21  0.579,294.97, 68.51, 28.05, 48.28
2013 22  0.605,295.55, 68.33, 25.13, 46.73
2013 23  0.626,295.81, 69.63, 24.92, 47.28
2013 24  0.641,296.08, 71.73, 24.16, 47.95
2013 25  0.649,296.37, 72.29, 23.09, 47.69
2013 26  0.650,296.39, 70.96, 25.29, 48.12
2013 27  0.648,296.16, 70.04, 32.43, 51.23
2013 28  0.642,295.78, 69.57, 40.90, 55.24
2013 29  0.637,295.48, 70.26, 48.28, 59.27
2013 30  0.630,295.41, 71.08, 51.73, 61.41
2013 31  0.620,295.22, 70.05, 52.54, 61.30
2013 32  0.602,294.68, 65.07, 53.31, 59.19
2013 33  0.582,293.88, 59.37, 52.45, 55.91
2013 34  0.553,292.63, 51.00, 53.49, 52.24
2013 35  0.518,290.66, 40.51, 65.20, 52.86
2013 36  0.487,288.82, 35.48, 71.00, 53.24
2013 37  0.456,287.16, 33.05, 73.64, 53.34
2013 38  0.430,285.53, 32.14, 76.83, 54.48
