Mean data for UKR  Province= 4: Crimea,  from 1981 to 2018<br>The data below were extracted from weekly files like: ../NPP_VH/4km/ts_L1_v1/ByWeek/VHP_L1_Mean_201301.txt<br><tt><pre>year,week,, provinceID, SMN,SMT,VCI,TCI,VHI
2013 01  0.190,276.11, 47.49, 23.77, 35.59
2013 02  0.195,276.88, 50.50, 17.94, 34.18
2013 03  0.203,277.83, 53.83, 12.03, 32.89
2013 04  0.211,278.63, 55.71,  8.61, 32.11
2013 05  0.219,279.52, 56.82,  7.42, 32.06
2013 06  0.226,280.41, 57.78,  8.10, 32.87
2013 07  0.238,281.66, 60.72,  8.53, 34.56
2013 08  0.253,282.89, 63.83,  9.55, 36.62
2013 09  0.269,283.93, 65.76, 11.06, 38.35
2013 10  0.288,285.05, 67.07, 13.06, 39.99
2013 11  0.306,286.08, 65.75, 17.41, 41.48
2013 12  0.328,287.23, 66.55, 20.50, 43.42
2013 13  0.352,288.28, 66.10, 27.38, 46.65
2013 14  0.379,289.52, 66.19, 32.71, 49.37
2013 15  0.415,291.44, 67.79, 30.47, 49.06
2013 16  0.452,293.45, 68.71, 25.68, 47.17
2013 17  0.484,295.42, 68.71, 20.98, 44.82
2013 18  0.506,297.18, 67.32, 14.95, 41.10
2013 19  0.513,298.27, 61.40, 11.83, 36.57
2013 20  0.509,299.07, 53.08,  9.82, 31.41
2013 21  0.500,299.66, 45.33, 10.09, 27.67
2013 22  0.486,300.00, 38.43, 15.83, 27.10
2013 23  0.472,300.33, 34.97, 20.41, 27.65
2013 24  0.463,300.69, 34.63, 24.95, 29.76
2013 25  0.456,300.92, 36.50, 33.13, 34.82
2013 26  0.451,301.17, 39.34, 38.98, 39.18
2013 27  0.449,301.62, 44.07, 39.96, 42.03
2013 28  0.447,301.90, 48.10, 39.93, 44.01
2013 29  0.440,301.88, 50.47, 40.29, 45.37
2013 30  0.433,301.99, 51.14, 38.43, 44.76
2013 31  0.424,302.10, 50.30, 36.02, 43.14
2013 32  0.410,301.82, 46.50, 35.11, 40.78
2013 33  0.396,300.99, 40.16, 37.52, 38.82
2013 34  0.384,299.74, 34.66, 42.35, 38.48
2013 35  0.375,298.25, 30.77, 48.03, 39.34
2013 36  0.365,296.15, 27.99, 55.80, 41.81
2013 37  0.356,294.19, 26.75, 63.42, 45.05
2013 38  0.350,292.43, 27.57, 70.48, 49.00
2013 39  0.346,291.00, 31.00, 73.99, 52.50
2013 40  0.343,289.93, 35.73, 72.71, 54.22
2013 41  0.342,289.07, 41.06, 67.57, 54.30
2013 42  0.342,288.11, 47.17, 60.09, 53.63
2013 43  0.342,287.28, 54.05, 45.85, 49.96
2013 44  0.343,286.45, 60.06, 28.72, 44.39
2013 45  0.344,285.52, 65.76, 18.43, 42.09
2013 46  0.341,283.94, 70.79, 16.37, 43.56
2013 47  0.339,282.28, 75.90, 14.99, 45.43
2013 48  0.337,280.94, 79.21, 14.89, 47.03
2013 49  0.329,279.59, 81.34, 15.27, 48.28
2013 50  0.319,278.61, 82.91, 15.23, 49.05
2013 51  0.313,278.31, 83.76, 12.70, 48.20
2013 52  0.308,278.29, 83.39, 10.44, 46.89
2014 01  0.304,278.37, 83.49,  8.91, 46.17
2014 02  0.297,278.21, 82.81,  9.29, 46.02
2014 03  0.289,277.94, 80.42, 11.30, 45.82
2014 04  0.282,277.98, 77.53, 11.14, 44.28
2014 05  0.281,278.49, 75.15, 11.39, 43.20
2014 06  0.287,279.59, 75.27, 11.25, 43.19
2014 07  0.300,281.24, 78.25, 10.14, 44.12
2014 08  0.318,282.89, 81.49,  9.18, 45.26
2014 09  0.341,284.47, 84.33,  8.43, 46.30
2014 10  0.367,285.94, 86.73,  8.75, 47.66
2014 11  0.395,287.55, 87.21,  9.92, 48.46
2014 12  0.423,289.04, 88.84, 10.47, 49.56
2014 13  0.447,290.48, 88.60, 13.06, 50.76
2014 14  0.470,291.75, 87.49, 16.40, 51.88
2014 15  0.491,292.73, 85.73, 20.14, 52.89
2014 16  0.510,293.63, 82.87, 24.03, 53.43
2014 17  0.526,294.41, 79.39, 31.14, 55.25
2014 18  0.536,295.05, 75.45, 37.56, 56.51
2014 19  0.540,295.74, 69.94, 40.96, 55.45
2014 20  0.534,296.16, 61.70, 43.98, 52.85
2014 21  0.522,296.80, 53.61, 42.39, 48.02
2014 22  0.504,297.40, 45.60, 43.32, 44.48
2014 23  0.488,297.93, 41.32, 44.79, 43.06
2014 24  0.475,298.62, 39.71, 46.09, 42.91
2014 25  0.464,299.51, 39.91, 47.58, 43.80
2014 26  0.455,300.45, 41.36, 46.00, 43.72
2014 27  0.447,301.33, 43.95, 42.34, 43.18
2014 28  0.438,302.14, 45.79, 37.76, 41.79
2014 29  0.429,302.86, 46.94, 32.53, 39.73
2014 30  0.418,303.33, 46.68, 28.17, 37.42
2014 31  0.406,303.39, 44.84, 26.21, 35.51
2014 32  0.398,303.26, 42.99, 24.03, 33.50
2014 33  0.391,302.75, 39.61, 23.65, 31.63
2014 34  0.384,302.00, 35.46, 23.88, 29.68
2014 35  0.376,300.95, 32.43, 25.51, 28.95
2014 36  0.370,299.50, 30.83, 28.48, 29.60
2014 37  0.363,298.05, 30.46, 32.41, 31.43
2014 38  0.356,296.62, 31.17, 36.96, 34.09
2014 39  0.349,294.94, 33.72, 42.44, 38.10
2014 40  0.344,293.01, 37.65, 48.52, 43.09
2014 41  0.337,290.97, 41.12, 52.51, 46.82
2014 42  0.327,289.16, 44.49, 50.90, 47.71
2014 43  0.318,287.81, 48.90, 41.21, 45.07
2014 44  0.305,286.02, 51.20, 32.08, 41.64
2014 45  0.293,284.29, 53.17, 27.07, 40.11
2014 46  0.281,282.67, 55.36, 24.30, 39.81
2014 47  0.267,280.74, 55.87, 24.11, 39.97
2014 48  0.254,279.28, 55.71, 24.09, 39.88
2014 49  0.247,278.07, 57.27, 23.89, 40.56
2014 50  0.243,277.30, 60.12, 23.41, 41.74
2014 51  0.243,276.97, 63.10, 21.64, 42.34
2014 52  0.242,276.86, 63.55, 20.05, 41.76
2015 01  0.243,277.13, 64.78, 16.97, 40.84
2015 02  0.245,277.65, 66.69, 13.00, 39.81
2015 03  0.248,278.29, 67.95,  9.39, 38.63
2015 04  0.252,279.10, 68.03,  6.53, 37.22
2015 05  0.253,279.68, 66.32,  6.69, 36.44
2015 06  0.259,280.41, 66.54,  8.08, 37.24
2015 07  0.267,281.04, 68.35, 11.16, 39.69
2015 08  0.280,282.11, 70.53, 12.76, 41.58
2015 09  0.295,283.69, 72.02, 12.07, 41.98
2015 10  0.313,285.04, 72.96, 13.05, 42.93
2015 11  0.331,286.17, 71.42, 16.81, 44.02
2015 12  0.349,286.98, 71.03, 21.74, 46.30
2015 13  0.369,287.97, 69.85, 29.48, 49.59
2015 14  0.396,289.21, 69.61, 34.72, 52.10
2015 15  0.427,290.63, 70.13, 36.61, 53.31
2015 16  0.461,292.13, 70.43, 37.21, 53.79
2015 17  0.494,293.52, 70.69, 40.49, 55.57
2015 18  0.521,294.75, 70.77, 41.33, 56.02
2015 19  0.539,295.46, 68.82, 44.56, 56.65
2015 20  0.552,295.90, 66.93, 47.60, 57.23
2015 21  0.563,296.79, 67.68, 43.16, 55.37
2015 22  0.561,297.27, 66.71, 44.98, 55.82
2015 23  0.553,297.61, 65.54, 48.41, 56.94
2015 24  0.541,297.93, 64.15, 53.61, 58.86
2015 25  0.527,298.18, 62.44, 61.51, 62.00
2015 26  0.517,298.46, 62.12, 65.00, 63.60
2015 27  0.508,299.01, 63.92, 62.67, 63.31
2015 28  0.500,299.90, 65.72, 55.50, 60.61
2015 29  0.491,301.04, 67.58, 45.72, 56.63
2015 30  0.479,301.86, 67.22, 38.25, 52.72
2015 31  0.463,302.28, 64.24, 33.60, 48.92
2015 32  0.442,302.46, 58.43, 29.42, 43.95
2015 33  0.425,302.64, 51.02, 24.13, 37.62
2015 34  0.412,302.50, 44.20, 19.59, 31.96
2015 35  0.396,302.02, 38.38, 16.47, 27.48
2015 36  0.381,301.52, 34.35, 12.17, 23.27
