Mean data for UKR  Province= 25: Volyn,  from 1981 to 2018<br>The data below were extracted from weekly files like: ../NPP_VH/4km/ts_L1_v1/ByWeek/VHP_L1_Mean_201301.txt<br><tt><pre>year,week,, provinceID, SMN,SMT,VCI,TCI,VHI
2013 01  0.138,262.12, 26.72, 66.71, 46.71
2013 02  0.140,262.33, 31.32, 63.65, 47.48
2013 03  0.137,262.45, 31.12, 66.65, 48.88
2013 04  0.128,262.11, 27.44, 74.19, 50.82
2013 05  0.122,262.08, 23.71, 77.82, 50.77
2013 06  0.121,262.75, 21.53, 76.64, 49.08
2013 07  0.122,263.94, 21.25, 73.96, 47.60
2013 08  0.126,265.15, 22.73, 72.30, 47.52
2013 09  0.133,265.87, 24.22, 73.12, 48.67
2013 10  0.139,266.78, 24.03, 71.38, 47.70
2013 11  0.148,267.73, 20.82, 88.15, 54.48
2013 12  0.161,269.02, 18.11, 89.50, 53.80
2013 13  0.182,271.04, 14.88, 93.32, 54.10
2013 14  0.213,274.06, 12.39, 94.77, 53.58
2013 15  0.262,278.39, 17.58, 90.56, 54.07
2013 16  0.333,283.56, 32.80, 72.54, 52.67
2013 17  0.398,287.14, 44.13, 61.27, 52.70
2013 18  0.462,289.55, 53.18, 52.51, 52.84
2013 19  0.513,290.95, 58.43, 50.70, 54.56
2013 20  0.556,291.96, 62.79, 49.32, 56.05
2013 21  0.590,292.75, 66.56, 46.29, 56.43
2013 22  0.618,293.20, 69.65, 45.29, 57.47
2013 23  0.641,293.70, 74.99, 38.86, 56.92
2013 24  0.654,293.90, 76.81, 35.31, 56.06
2013 25  0.663,294.29, 79.35, 30.62, 54.98
2013 26  0.664,294.56, 77.91, 27.31, 52.61
2013 27  0.657,294.37, 75.18, 30.34, 52.76
2013 28  0.646,294.18, 71.23, 34.54, 52.88
2013 29  0.642,294.47, 72.38, 34.04, 53.21
2013 30  0.636,294.56, 73.38, 37.06, 55.22
2013 31  0.623,294.24, 69.80, 39.40, 54.60
2013 32  0.613,293.89, 67.13, 41.12, 54.13
2013 33  0.602,293.12, 65.35, 48.19, 56.77
2013 34  0.582,292.02, 61.78, 54.54, 58.16
2013 35  0.555,290.26, 55.54, 66.59, 61.07
2013 36  0.526,288.33, 50.42, 75.52, 62.97
2013 37  0.504,286.86, 49.59, 75.16, 62.38
2013 38  0.488,285.71, 50.85, 76.87, 63.86
2013 39  0.469,284.83, 50.72, 73.22, 61.97
2013 40  0.455,284.18, 51.67, 65.22, 58.45
2013 41  0.438,283.48, 53.41, 53.43, 53.42
2013 42  0.418,282.65, 56.51, 39.60, 48.06
2013 43  0.384,281.05, 54.65, 37.96, 46.31
2013 44  0.350,279.25, 52.20, 35.07, 43.63
2013 45  0.318,277.28, 51.84, 33.79, 42.81
2013 46  0.291,275.28, 50.07, 34.88, 42.47
2013 47  0.269,273.62, 53.00, 36.00, 44.50
2013 48  0.257,272.22, 56.81, 37.87, 47.34
2013 49  0.255,271.59, 62.87, 33.56, 48.22
2013 50  0.259,271.56, 69.58, 24.09, 46.84
2013 51  0.245,271.09, 70.55, 19.79, 45.17
2013 52  0.235,270.69, 71.91, 19.62, 45.76
2014 01  0.231,269.86, 74.16, 20.80, 47.48
2014 02  0.218,268.45, 74.73, 25.58, 50.15
2014 03  0.208,267.38, 69.44, 34.05, 51.74
2014 04  0.209,267.52, 64.05, 40.18, 52.12
2014 05  0.220,268.94, 61.37, 39.09, 50.23
2014 06  0.243,271.82, 64.09, 29.56, 46.83
2014 07  0.278,275.11, 72.79, 17.58, 45.18
2014 08  0.309,277.86, 80.96,  8.57, 44.77
2014 09  0.333,280.04, 86.84,  4.04, 45.44
2014 10  0.354,281.67, 90.28,  3.24, 46.76
2014 11  0.374,283.33, 91.16,  4.68, 47.92
2014 12  0.391,284.68, 91.22,  9.57, 50.40
2014 13  0.408,285.74, 90.40, 12.57, 51.49
2014 14  0.429,286.71, 88.83, 14.34, 51.59
2014 15  0.455,287.65, 88.18, 16.49, 52.34
2014 16  0.484,288.61, 86.50, 21.53, 54.02
2014 17  0.516,289.57, 84.76, 32.32, 58.54
2014 18  0.548,290.41, 82.68, 42.11, 62.39
2014 19  0.578,291.21, 80.82, 48.10, 64.46
2014 20  0.599,291.61, 78.15, 54.16, 66.15
2014 21  0.615,291.92, 75.98, 56.26, 66.12
2014 22  0.632,292.37, 75.16, 54.83, 64.99
2014 23  0.649,293.03, 78.73, 46.31, 62.52
2014 24  0.659,293.27, 79.01, 42.55, 60.78
2014 25  0.664,293.72, 79.92, 37.18, 58.55
2014 26  0.663,294.02, 77.44, 33.52, 55.48
2014 27  0.661,294.46, 77.11, 29.09, 53.10
2014 28  0.651,294.59, 73.25, 29.32, 51.29
2014 29  0.646,294.96, 73.70, 27.33, 50.51
2014 30  0.643,295.28, 75.98, 27.51, 51.74
2014 31  0.634,294.89, 74.01, 30.80, 52.40
2014 32  0.625,294.11, 71.35, 38.20, 54.78
2014 33  0.618,293.24, 71.42, 46.69, 59.05
2014 34  0.611,292.76, 73.36, 45.14, 59.25
2014 35  0.599,292.01, 73.25, 44.28, 58.76
2014 36  0.587,291.12, 74.78, 43.09, 58.93
2014 37  0.573,290.41, 76.32, 34.58, 55.45
2014 38  0.555,289.75, 74.69, 26.03, 50.36
2014 39  0.526,288.28, 69.61, 27.96, 48.79
2014 40  0.494,286.37, 63.91, 37.48, 50.70
2014 41  0.468,284.65, 62.88, 38.50, 50.69
2014 42  0.440,283.07, 63.44, 35.35, 49.40
2014 43  0.406,281.28, 61.57, 35.92, 48.75
2014 44  0.368,278.91, 58.23, 37.91, 48.07
2014 45  0.323,275.94, 53.64, 44.57, 49.10
2014 46  0.273,273.08, 43.99, 51.11, 47.55
2014 47  0.226,271.31, 38.72, 51.63, 45.18
2014 48  0.194,269.70, 35.90, 54.17, 45.04
2014 49  0.176,267.99, 35.43, 55.97, 45.70
2014 50  0.172,266.98, 36.11, 52.20, 44.16
2014 51  0.172,266.57, 40.78, 48.53, 44.65
2014 52  0.173,266.16, 44.89, 48.34, 46.61
2015 01  0.183,266.34, 50.85, 42.39, 46.62
2015 02  0.200,267.32, 65.45, 32.76, 49.11
2015 03  0.222,269.00, 76.42, 23.20, 49.81
2015 04  0.241,270.65, 78.35, 20.08, 49.21
2015 05  0.261,272.07, 76.89, 21.07, 48.98
2015 06  0.274,273.42, 74.88, 21.45, 48.16
2015 07  0.289,274.93, 75.95, 18.85, 47.40
2015 08  0.304,276.77, 79.28, 14.23, 46.76
2015 09  0.319,278.72, 82.37, 10.59, 46.48
2015 10  0.327,280.30, 82.10,  9.44, 45.77
2015 11  0.343,282.14, 81.74, 11.72, 46.73
2015 12  0.356,283.36, 80.18, 16.97, 48.58
2015 13  0.369,284.43, 77.53, 20.29, 48.91
2015 14  0.383,285.58, 72.78, 22.03, 47.40
2015 15  0.404,287.21, 69.82, 20.09, 44.96
2015 16  0.437,288.74, 69.91, 20.15, 45.03
2015 17  0.474,290.13, 70.37, 25.53, 47.95
2015 18  0.510,290.91, 69.65, 36.21, 52.93
2015 19  0.543,291.69, 68.54, 42.47, 55.51
2015 20  0.575,292.33, 69.70, 45.46, 57.58
2015 21  0.603,292.71, 71.34, 47.01, 59.17
2015 22  0.624,293.06, 72.14, 47.39, 59.77
2015 23  0.644,293.68, 76.52, 39.73, 58.13
2015 24  0.657,294.18, 78.10, 32.78, 55.44
2015 25  0.661,294.53, 78.39, 28.57, 53.48
2015 26  0.657,294.59, 74.78, 27.56, 51.17
2015 27  0.649,294.58, 71.43, 28.13, 49.78
2015 28  0.642,294.99, 69.20, 25.12, 47.16
2015 29  0.633,295.25, 67.88, 24.48, 46.18
2015 30  0.623,295.55, 67.41, 24.69, 46.05
2015 31  0.615,296.08, 66.16, 16.58, 41.37
2015 32  0.598,296.30, 60.86, 11.62, 36.24
2015 33  0.584,296.28, 58.19,  9.16, 33.67
2015 34  0.568,295.46, 56.39, 11.11, 33.75
2015 35  0.549,293.98, 53.34, 18.98, 36.16
2015 36  0.532,292.24, 53.29, 29.84, 41.57
2015 37  0.519,290.30, 55.17, 36.60, 45.88
2015 38  0.503,288.41, 56.22, 44.14, 50.18
2015 39  0.488,286.61, 56.81, 50.65, 53.73
2015 40  0.469,284.88, 55.95, 56.55, 56.25
2015 41  0.441,283.41, 54.31, 54.32, 54.31
2015 42  0.409,281.92, 53.42, 47.55, 50.49
2015 43  0.378,280.71, 52.65, 40.86, 46.76
2015 44  0.351,279.73, 52.53, 30.66, 41.59
2015 45  0.321,278.22, 52.30, 26.36, 39.33
2015 46  0.302,276.41, 52.83, 26.96, 39.89
2015 47  0.289,274.95, 58.94, 27.54, 43.24
2015 48  0.279,273.61, 63.20, 29.45, 46.32
2015 49  0.275,272.74, 68.79, 26.74, 47.76
2015 50  0.276,272.01, 75.75, 21.41, 48.58
2015 51  0.267,270.77, 79.14, 21.70, 50.42
2015 52  0.253,269.14, 79.95, 29.08, 54.52
2016 01  0.232,266.98, 75.23, 38.45, 56.84
2016 02  0.210,265.79, 70.70, 43.02, 56.86
2016 03  0.197,265.54, 64.16, 46.76, 55.46
2016 04  0.194,266.18, 57.90, 48.70, 53.30
2016 05  0.200,267.51, 54.05, 47.34, 50.70
2016 06  0.205,268.47, 51.21, 47.51, 49.36
2016 07  0.207,268.95, 49.81, 49.48, 49.65
2016 08  0.202,268.42, 47.75, 56.46, 52.11
2016 09  0.195,266.98, 44.61, 67.36, 55.99
2016 10  0.181,264.22, 38.11, 80.13, 59.12
2016 11  0.296,277.28, 67.30, 40.11, 53.71
2016 12  0.331,279.90, 72.38, 36.28, 54.33
