Mean data for UKR  Province= 27: Zhytomyr,  from 1981 to 2018<br>The data below were extracted from weekly files like: ../NPP_VH/4km/ts_L1_v1/ByWeek/VHP_L1_Mean_201301.txt<br><tt><pre>year,week,, provinceID, SMN,SMT,VCI,TCI,VHI
2013 01  0.123,260.69, 22.61, 65.48, 44.05
2013 02  0.122,260.80, 22.20, 69.39, 45.80
2013 03  0.120,260.97, 25.47, 72.07, 48.77
2013 04  0.116,261.10, 26.99, 73.76, 50.37
2013 05  0.113,261.29, 25.48, 73.71, 49.60
2013 06  0.113,261.71, 23.76, 72.93, 48.35
2013 07  0.118,262.68, 23.77, 70.34, 47.05
2013 08  0.125,263.84, 25.70, 68.67, 47.18
2013 09  0.134,265.03, 27.83, 67.96, 47.90
2013 10  0.144,266.30, 27.73, 67.84, 47.79
2013 11  0.159,267.89, 27.21, 69.90, 48.55
2013 12  0.179,270.09, 27.75, 73.14, 50.44
2013 13  0.207,272.87, 28.93, 74.02, 51.47
2013 14  0.248,276.60, 32.85, 72.72, 52.79
2013 15  0.303,281.14, 42.91, 64.53, 53.72
2013 16  0.367,285.37, 54.45, 48.74, 51.60
2013 17  0.430,288.69, 62.48, 37.46, 49.97
2013 18  0.491,290.89, 69.05, 31.29, 50.17
2013 19  0.535,292.13, 69.91, 31.23, 50.57
2013 20  0.572,293.11, 69.95, 31.50, 50.73
2013 21  0.603,293.89, 71.51, 29.38, 50.45
2013 22  0.627,294.27, 72.40, 29.88, 51.14
2013 23  0.647,294.46, 75.70, 29.53, 52.62
2013 24  0.660,294.59, 77.70, 29.38, 53.54
2013 25  0.668,294.80, 80.19, 28.57, 54.38
2013 26  0.669,294.75, 78.98, 28.60, 53.79
2013 27  0.667,294.54, 77.52, 31.85, 54.69
2013 28  0.660,294.26, 76.74, 40.31, 58.52
2013 29  0.658,294.28, 79.01, 43.99, 61.50
2013 30  0.655,294.40, 80.82, 45.26, 63.04
2013 31  0.645,294.25, 79.95, 47.05, 63.50
2013 32  0.632,293.92, 77.90, 48.71, 63.30
2013 33  0.613,293.14, 74.36, 53.54, 63.95
2013 34  0.590,291.97, 68.97, 59.34, 64.16
2013 35  0.560,290.11, 62.00, 70.65, 66.33
2013 36  0.528,288.22, 57.04, 77.14, 67.09
2013 37  0.499,286.62, 53.93, 80.54, 67.23
2013 38  0.472,285.09, 51.70, 85.15, 68.43
2013 39  0.447,283.93, 51.25, 83.94, 67.59
2013 40  0.428,283.13, 51.36, 78.54, 64.95
2013 41  0.406,282.25, 49.97, 70.23, 60.10
2013 42  0.392,281.76, 55.23, 51.42, 53.32
2013 43  0.369,280.86, 57.36, 38.08, 47.72
2013 44  0.343,279.44, 55.74, 26.86, 41.30
2013 45  0.315,277.75, 57.26, 21.65, 39.46
2013 46  0.280,275.17, 53.76, 28.42, 41.09
2013 47  0.256,273.18, 55.84, 31.62, 43.73
2013 48  0.243,271.91, 59.66, 30.92, 45.29
2013 49  0.233,270.76, 60.03, 29.59, 44.81
2013 50  0.232,270.25, 63.51, 24.71, 44.11
2013 51  0.223,269.39, 63.36, 21.64, 42.50
2013 52  0.215,268.80, 64.43, 20.75, 42.59
2014 01  0.206,267.92, 65.00, 24.22, 44.61
2014 02  0.196,266.53, 60.76, 36.33, 48.54
2014 03  0.190,265.72, 60.03, 43.51, 51.77
2014 04  0.190,266.07, 62.17, 43.59, 52.88
2014 05  0.197,267.39, 62.64, 38.23, 50.44
2014 06  0.212,269.91, 63.96, 29.32, 46.64
2014 07  0.235,272.75, 69.05, 20.11, 44.58
2014 08  0.265,275.79, 77.52, 12.02, 44.77
2014 09  0.296,278.60, 85.85,  6.51, 46.18
