Mean data for UKR  Province= 23: Transcarpathia,  from 1981 to 2018<br>The data below were extracted from weekly files like: ../NPP_VH/4km/ts_L1_v1/ByWeek/VHP_L1_Mean_201301.txt<br><tt><pre>year,week,, provinceID, SMN,SMT,VCI,TCI,VHI
2013 01  0.214,268.35, 55.25, 23.36, 39.30
2013 02  0.200,267.76, 49.99, 28.04, 38.99
2013 03  0.184,267.30, 42.60, 35.03, 38.77
2013 04  0.168,266.74, 35.26, 42.22, 38.71
2013 05  0.165,266.92, 32.32, 46.36, 39.32
2013 06  0.170,267.57, 32.85, 50.13, 41.46
2013 07  0.179,268.61, 33.64, 53.95, 43.77
2013 08  0.198,270.29, 38.11, 54.71, 46.39
2013 09  0.215,271.53, 41.43, 59.83, 50.61
2013 10  0.238,272.90, 45.50, 64.01, 54.74
2013 11  0.259,274.05, 45.26, 72.27, 58.76
2013 12  0.280,275.30, 47.22, 72.22, 59.71
2013 13  0.313,277.56, 50.27, 67.70, 58.98
2013 14  0.345,280.13, 50.48, 60.49, 55.48
2013 15  0.387,283.14, 54.13, 49.17, 51.65
2013 16  0.443,286.28, 60.60, 36.20, 48.40
2013 17  0.496,288.29, 63.99, 32.19, 48.09
2013 18  0.552,289.69, 69.64, 28.98, 49.31
2013 19  0.590,290.19, 70.59, 31.62, 51.11
2013 20  0.621,290.54, 72.43, 32.89, 52.64
2013 21  0.652,291.34, 75.21, 31.64, 53.42
2013 22  0.672,291.76, 75.89, 33.13, 54.51
2013 23  0.687,292.12, 77.69, 32.86, 55.27
2013 24  0.700,292.58, 80.96, 29.94, 55.45
2013 25  0.709,293.31, 83.79, 24.46, 54.13
2013 26  0.713,293.84, 84.06, 21.95, 53.00
2013 27  0.706,293.66, 79.24, 28.41, 53.83
2013 28  0.698,293.49, 76.51, 34.31, 55.41
2013 29  0.703,294.07, 80.25, 27.98, 54.12
2013 30  0.699,294.54, 79.73, 23.72, 51.72
2013 31  0.683,294.26, 72.96, 27.98, 50.47
2013 32  0.673,293.79, 68.83, 34.04, 51.43
2013 33  0.662,293.01, 64.85, 42.14, 53.50
2013 34  0.637,291.68, 54.81, 51.72, 53.26
2013 35  0.603,289.75, 42.33, 65.35, 53.84
2013 36  0.568,287.65, 36.37, 74.37, 55.37
2013 37  0.551,286.24, 40.33, 73.67, 57.00
2013 38  0.545,285.16, 45.67, 71.97, 58.82
2013 39  0.529,284.57, 44.54, 64.40, 54.47
2013 40  0.511,284.39, 44.52, 53.25, 48.89
2013 41  0.483,283.68, 45.05, 44.90, 44.98
2013 42  0.460,283.23, 47.73, 32.16, 39.94
2013 43  0.425,282.43, 46.54, 25.09, 35.82
2013 44  0.389,281.09, 43.44, 24.11, 33.78
2013 45  0.370,279.85, 47.84, 20.35, 34.10
2013 46  0.348,277.94, 54.80, 18.97, 36.88
2013 47  0.319,275.89, 56.82, 19.84, 38.33
2013 48  0.293,274.10, 57.85, 20.59, 39.22
2013 49  0.267,272.69, 58.64, 19.41, 39.02
2013 50  0.250,272.01, 59.97, 13.23, 36.60
2013 51  0.228,271.15, 58.03,  9.67, 33.85
2013 52  0.220,270.93, 58.26,  7.36, 32.81
2014 01  0.222,270.94, 59.23,  6.55, 32.89
2014 02  0.224,270.73, 61.56,  8.02, 34.77
2014 03  0.225,270.68, 62.05, 10.89, 36.44
2014 04  0.234,271.20, 66.57, 10.75, 38.66
2014 05  0.247,272.23, 71.47,  9.79, 40.64
2014 06  0.268,274.03, 77.63,  7.87, 42.75
2014 07  0.292,276.17, 83.14,  6.35, 44.74
2014 08  0.320,278.45, 89.10,  3.79, 46.43
2014 09  0.348,280.60, 93.72,  2.70, 48.20
2014 10  0.378,282.41, 96.24,  3.01, 49.61
2014 11  0.403,284.12, 96.59,  6.31, 51.44
2014 12  0.426,285.34, 96.70,  9.90, 53.29
2014 13  0.448,286.14, 95.50, 10.42, 52.95
2014 14  0.473,286.74, 93.27, 12.96, 53.11
2014 15  0.503,287.21, 91.55, 17.74, 54.64
2014 16  0.538,287.59, 89.94, 26.02, 57.98
2014 17  0.574,288.04, 87.94, 35.32, 61.63
2014 18  0.606,288.56, 86.92, 39.77, 63.34
2014 19  0.634,289.24, 85.47, 39.85, 62.66
2014 20  0.651,289.68, 83.08, 39.80, 61.41
2014 21  0.666,290.47, 80.95, 38.10, 59.52
2014 22  0.681,291.58, 79.09, 33.36, 56.23
2014 23  0.692,292.36, 78.56, 29.25, 53.91
2014 24  0.698,292.67, 79.22, 28.21, 53.72
2014 25  0.703,293.24, 80.31, 24.58, 52.44
2014 26  0.701,293.43, 78.27, 25.83, 52.05
2014 27  0.699,293.58, 75.36, 29.33, 52.34
2014 28  0.691,293.31, 73.01, 36.65, 54.83
2014 29  0.690,293.41, 74.65, 36.43, 55.54
2014 30  0.691,293.59, 76.00, 35.80, 55.90
2014 31  0.685,293.09, 73.45, 43.38, 58.41
2014 32  0.680,292.42, 71.61, 52.26, 61.94
2014 33  0.676,291.95, 70.40, 55.93, 63.16
2014 34  0.669,291.58, 67.62, 53.65, 60.64
2014 35  0.659,290.99, 64.60, 50.78, 57.69
2014 36  0.649,290.23, 65.78, 45.08, 55.43
2014 37  0.643,289.66, 72.10, 36.73, 54.41
2014 38  0.630,289.06, 74.09, 29.06, 51.58
2014 39  0.610,288.19, 71.03, 24.08, 47.56
2014 40  0.588,287.02, 69.21, 24.21, 46.71
2014 41  0.563,285.82, 71.09, 21.92, 46.50
2014 42  0.537,284.87, 74.43, 14.56, 44.50
2014 43  0.506,283.84, 75.76, 10.41, 43.08
2014 44  0.471,282.52, 74.64,  9.62, 42.13
2014 45  0.442,281.11, 78.48,  9.20, 43.84
2014 46  0.411,279.44, 80.95,  7.55, 44.25
2014 47  0.380,277.62, 82.95,  7.11, 45.03
2014 48  0.346,275.62, 80.63, 10.08, 45.35
2014 49  0.313,273.60, 78.90, 13.73, 46.32
2014 50  0.277,271.29, 74.87, 18.97, 46.92
2014 51  0.240,269.20, 66.04, 23.28, 44.66
2014 52  0.213,267.98, 57.20, 26.89, 42.04
2015 01  0.196,267.01, 49.29, 31.84, 40.57
2015 02  0.185,266.35, 45.42, 36.70, 41.06
2015 03  0.186,266.62, 45.40, 38.86, 42.11
2015 04  0.195,268.06, 48.98, 32.45, 40.71
2015 05  0.206,269.50, 51.88, 28.81, 40.35
2015 06  0.223,270.94, 56.52, 28.79, 42.64
2015 07  0.240,272.29, 59.60, 31.67, 45.63
2015 08  0.265,274.52, 65.56, 29.13, 47.33
