Mean data for UKR  Province= 26: Zaporizhzhya,  from 1981 to 2018<br>The data below were extracted from weekly files like: ../NPP_VH/4km/ts_L1_v1/ByWeek/VHP_L1_Mean_201301.txt<br><tt><pre>year,week,, provinceID, SMN,SMT,VCI,TCI,VHI
2013 01  0.181,268.84, 66.24, 34.16, 50.20
2013 02  0.169,269.11, 65.93, 32.13, 49.03
2013 03  0.157,269.32, 64.34, 30.67, 47.50
2013 04  0.158,270.08, 65.01, 23.54, 44.28
2013 05  0.168,271.46, 66.37, 21.55, 43.96
2013 06  0.185,273.77, 67.65, 16.78, 42.22
2013 07  0.209,276.76, 69.16, 11.54, 40.35
2013 08  0.230,279.06, 70.49, 10.24, 40.37
2013 09  0.249,280.85, 70.98, 11.22, 41.10
2013 10  0.268,282.82, 70.12, 12.26, 41.18
2013 11  0.281,284.21, 68.44, 16.78, 42.59
2013 12  0.298,285.88, 68.31, 19.14, 43.71
2013 13  0.314,287.16, 67.99, 23.21, 45.60
2013 14  0.339,289.04, 68.78, 23.18, 45.98
2013 15  0.377,291.93, 71.28, 19.24, 45.26
2013 16  0.417,294.55, 73.46, 17.43, 45.44
2013 17  0.453,296.71, 74.07, 17.86, 45.97
2013 18  0.480,298.35, 73.42, 19.97, 46.70
2013 19  0.497,299.40, 70.51, 22.53, 46.52
2013 20  0.507,300.19, 67.16, 21.65, 44.40
2013 21  0.511,300.36, 64.05, 27.77, 45.91
2013 22  0.510,300.55, 59.83, 32.99, 46.41
2013 23  0.506,300.97, 57.18, 31.83, 44.51
2013 24  0.500,301.25, 55.32, 32.30, 43.81
2013 25  0.493,301.48, 52.83, 35.62, 44.23
2013 26  0.484,301.60, 49.23, 39.62, 44.43
2013 27  0.475,301.96, 47.11, 40.42, 43.76
2013 28  0.464,302.35, 46.22, 38.32, 42.27
2013 29  0.446,302.28, 43.57, 38.46, 41.02
2013 30  0.427,302.43, 40.82, 36.74, 38.79
2013 31  0.404,302.45, 37.73, 35.97, 36.86
2013 32  0.378,302.05, 32.30, 36.68, 34.50
2013 33  0.352,301.00, 25.36, 43.62, 34.51
2013 34  0.329,299.58, 18.95, 54.99, 36.99
2013 35  0.307,297.75, 14.12, 65.75, 39.96
2013 36  0.285,295.28, 10.92, 74.38, 42.68
2013 37  0.267,292.99,  9.31, 79.30, 44.33
2013 38  0.254,290.93,  9.68, 83.31, 46.51
2013 39  0.247,289.33, 13.28, 84.27, 48.80
2013 40  0.246,288.10, 20.27, 80.05, 50.16
2013 41  0.249,287.16, 28.46, 70.13, 49.30
2013 42  0.250,286.06, 34.19, 56.15, 45.16
2013 43  0.253,285.20, 38.77, 38.54, 38.63
2013 44  0.254,284.12, 41.54, 23.06, 32.28
2013 45  0.257,282.83, 54.31, 12.43, 33.37
2013 46  0.253,280.58, 57.47, 14.56, 36.01
2013 47  0.249,278.56, 60.88, 16.12, 38.50
2013 48  0.245,276.93, 63.17, 15.37, 39.27
2013 49  0.235,275.26, 63.82, 14.70, 39.26
2013 50  0.222,274.15, 64.93, 13.86, 39.40
2013 51  0.210,273.55, 66.24, 11.95, 39.09
2013 52  0.199,273.13, 66.61, 11.22, 38.92
2014 01  0.191,272.96, 70.02, 10.68, 40.35
2014 02  0.177,272.35, 68.51, 12.92, 40.71
2014 03  0.161,271.68, 65.33, 17.30, 41.31
2014 04  0.153,271.71, 62.72, 16.12, 39.42
2014 05  0.153,272.40, 60.68, 17.52, 39.10
2014 06  0.163,273.82, 60.27, 16.60, 38.44
2014 07  0.183,276.19, 61.41, 13.78, 37.59
2014 08  0.210,279.08, 64.92,  9.94, 37.43
2014 09  0.238,282.13, 68.37,  6.41, 37.39
2014 10  0.269,284.89, 70.85,  4.72, 37.77
2014 11  0.296,287.49, 72.46,  3.85, 38.14
2014 12  0.324,289.74, 74.42,  3.38, 38.88
2014 13  0.350,291.49, 75.73,  5.77, 40.75
2014 14  0.377,292.87, 76.71,  7.88, 42.29
2014 15  0.407,293.85, 77.45, 11.27, 44.36
2014 16  0.440,294.56, 78.03, 17.63, 47.83
2014 17  0.473,295.18, 78.20, 26.36, 52.28
2014 18  0.504,295.85, 78.23, 37.15, 57.69
2014 19  0.531,296.70, 77.61, 44.49, 61.05
2014 20  0.546,297.12, 75.83, 47.94, 61.88
2014 21  0.554,297.75, 74.85, 50.33, 62.59
2014 22  0.553,298.19, 72.44, 53.13, 62.79
2014 23  0.552,298.63, 72.17, 52.11, 62.14
2014 24  0.545,298.99, 70.49, 52.63, 61.56
