Mean data for UKR  Province= 7: Ivano-Frankivs'k,  from 1981 to 2018<br>The data below were extracted from weekly files like: ../NPP_VH/4km/ts_L1_v1/ByWeek/VHP_L1_Mean_201301.txt<br><tt><pre>year,week,, provinceID, SMN,SMT,VCI,TCI,VHI
2013 01  0.167,264.14, 37.19, 63.26, 50.22
2013 02  0.160,264.18, 34.13, 64.94, 49.54
2013 03  0.154,264.18, 31.20, 69.34, 50.27
2013 04  0.145,263.71, 27.36, 74.72, 51.04
2013 05  0.139,263.45, 22.82, 79.69, 51.25
2013 06  0.140,264.11, 21.23, 79.06, 50.14
2013 07  0.142,264.95, 20.46, 75.37, 47.91
2013 08  0.146,265.76, 21.35, 74.36, 47.86
2013 09  0.153,266.66, 22.40, 76.16, 49.28
2013 10  0.163,267.72, 23.68, 76.44, 50.06
2013 11  0.175,268.83, 23.60, 80.78, 52.19
2013 12  0.190,270.05, 25.46, 84.84, 55.15
2013 13  0.216,272.01, 27.99, 87.27, 57.63
2013 14  0.253,274.92, 31.51, 83.73, 57.62
2013 15  0.312,279.12, 41.11, 72.35, 56.73
2013 16  0.387,283.76, 54.06, 53.97, 54.02
2013 17  0.452,286.87, 62.00, 40.86, 51.43
2013 18  0.507,288.98, 67.86, 32.88, 50.37
2013 19  0.546,290.07, 69.51, 31.57, 50.54
2013 20  0.579,290.52, 71.44, 33.60, 52.52
2013 21  0.610,291.39, 74.38, 31.58, 52.98
2013 22  0.633,291.98, 75.68, 30.99, 53.33
2013 23  0.650,292.28, 77.80, 30.03, 53.91
2013 24  0.662,292.47, 79.65, 27.91, 53.78
2013 25  0.672,292.95, 81.19, 22.87, 52.03
2013 26  0.677,293.38, 81.42, 20.28, 50.85
2013 27  0.673,293.04, 77.43, 27.83, 52.63
2013 28  0.668,292.80, 76.42, 34.45, 55.43
2013 29  0.674,293.26, 79.91, 31.41, 55.66
2013 30  0.673,293.55, 80.76, 29.78, 55.27
2013 31  0.660,293.33, 75.43, 32.95, 54.19
2013 32  0.647,292.97, 70.98, 36.43, 53.70
2013 33  0.635,292.32, 67.53, 41.70, 54.62
2013 34  0.614,291.30, 62.39, 47.88, 55.13
2013 35  0.585,289.46, 55.98, 60.00, 57.99
2013 36  0.558,287.51, 53.49, 64.96, 59.23
2013 37  0.540,285.95, 55.03, 63.72, 59.38
2013 38  0.531,285.05, 54.86, 61.42, 58.14
2013 39  0.518,284.64, 50.56, 54.95, 52.76
2013 40  0.501,284.27, 42.38, 53.80, 48.09
2013 41  0.478,283.90, 38.89, 43.47, 41.18
2013 42  0.459,283.70, 43.65, 28.14, 35.90
2013 43  0.434,283.23, 48.55, 16.13, 32.34
2013 44  0.407,282.23, 51.71, 10.25, 30.98
2013 45  0.391,281.20, 65.29,  7.44, 36.37
2013 46  0.377,279.80, 71.98,  8.53, 40.26
2013 47  0.363,278.31, 76.32, 10.67, 43.50
2013 48  0.352,276.84, 78.40, 13.03, 45.71
2013 49  0.340,275.57, 79.93, 13.10, 46.51
2013 50  0.330,274.55, 83.80, 10.86, 47.33
2013 51  0.319,273.88, 87.34,  9.78, 48.56
2013 52  0.307,273.37, 86.99, 11.58, 49.28
2014 01  0.286,271.96, 81.53, 17.46, 49.49
2014 02  0.260,270.49, 72.14, 25.24, 48.69
2014 03  0.236,268.94, 61.81, 37.61, 49.71
2014 04  0.224,268.27, 57.21, 43.76, 50.48
2014 05  0.224,268.66, 53.62, 45.14, 49.38
2014 06  0.235,270.06, 53.82, 42.11, 47.96
2014 07  0.258,272.50, 58.29, 32.09, 45.19
2014 08  0.289,275.27, 67.39, 22.90, 45.14
2014 09  0.322,277.91, 75.63, 17.32, 46.47
2014 10  0.353,280.10, 82.50, 14.14, 48.32
2014 11  0.383,282.32, 85.23, 12.57, 48.90
2014 12  0.408,284.01, 88.35, 12.66, 50.50
2014 13  0.430,285.27, 90.06, 10.26, 50.16
2014 14  0.456,286.36, 90.84,  9.14, 49.99
2014 15  0.486,287.27, 91.09, 10.93, 51.01
2014 16  0.521,287.96, 90.89, 17.76, 54.32
2014 17  0.552,288.49, 88.93, 25.82, 57.38
2014 18  0.580,288.96, 87.58, 31.65, 59.62
2014 19  0.607,289.52, 86.34, 35.15, 60.74
2014 20  0.624,289.68, 84.93, 40.55, 62.72
2014 21  0.637,289.85, 83.48, 45.77, 64.62
2014 22  0.654,290.64, 82.87, 43.97, 63.40
2014 23  0.669,291.47, 83.99, 38.25, 61.10
